バー,,,Lv6,,
,,,,,
事件概要,,,,,
証拠品ドロップアイテム,,,ライター,,4
事件現場（物探し）,,,バー,,2
クエストレベル,,,6,,1
依頼現場／対決場所,,,住宅街,,3
事件名,,,読めない手紙,,6
事件概要,,,"
コナンと蘭はバーに小五郎を迎えに行く途中、偶然阿笠博士に会った。博士は、紙を取り出して「知り合い博士仲間が最近暗号やら脱出ゲームに凝っておっての、暗号をもらったんじゃが、さっぱりわからん。コナン君解けるかの？」とコナンに手紙を渡してきた。受け取った手紙はほぼ白紙で、端っこに「『えさぢるば』を逆から読め」としか書かれていれていなかった。コナンはこの暗号がすぐに分かったらしく、「これはすごく初歩的な暗号だよ」と言い、「これを解くための道具は、小五郎のおじさんがもってると思う」と言う。３人は暗号を解く道具を借りるためバーに向かった。
果たしてコナンの言った道具とは一体何か",,287
依頼者,,,阿笠博士,,4
犯人名,,,毛利小五郎,,5
はずれ容疑者、物証①,,,水野鉄平,：ブランデーグラス,4
はずれ容疑者、物証②,,,森和美,：おしぼり,3
はずれ容疑者、物証③,,,鈴木なおこ,：ポラロイドカメラ,5
