エンディングストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情",左キャラ名,カードID,"表情",中央キャラ,カードID,"表情",右キャラ,カードID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,江戸川コナン,"あ、いたいた！
おーい！おじさーん！",,,,2,江戸川コナン,3,,,,,,,バー,14,IN,,,,,
2クリック目,毛利小五郎,"あん？
なんらよ、おらぁ今酒を……",27,毛利小五郎,4,,,,,,,,,,,,,,,,,
3クリック目,毛利蘭,もう！お父さん、しっかりしてよ！,,,,,,,7,毛利蘭,8,,,,,,,,,,,
4クリック目,江戸川コナン,"（おっちゃんは完全に出来上がってるな……
仕方ない、確かおっちゃんのここのポケットにあれが……）",,,,22,江戸川コナン,3,,,,,,,,,,,,,,
5クリック目,江戸川コナン,"よっと……
あったあった、博士！これがその暗号の答えだよ！",,,,3,江戸川コナン,3,,"非表示",0,,,,,,,,,,,
6クリック目,阿笠博士,"これは……<font color='#FF9D9D'>ライター</font>じゃな……
じゃが、これが何故暗号の答えに……",15,阿笠博士,6,,,,,,,ライター,217,右,,,,,,,,
7クリック目,江戸川コナン,"<font color='#FF9D9D'>「えさぢるば」はアルファベットに直すと「ESADIRUBA」……
逆から読むと「ABURIDASE」「あぶりだせ」</font>になるんだ！",,,,,,,,,,,,,,,,,,,,
8クリック目,江戸川コナン,つまり、博士の手紙はあぶり出しで書かれたものって事になるんじゃないかな！,,,,,,,,,,,,"右：非表示",,,,,,,,
9クリック目,毛利蘭,"そっか！コナン君すごいわね！
あぶり出しだから何も書いていなかったのね！",,,,,,,1,毛利蘭,8,,,,,,,,,,,
10クリック目,阿笠博士,"いや～助かったぞ、コナン君！
これで博士仲間に暗号が答えられる！
ちょっと今から戻って伝えてくるぞ！",1,阿笠博士,6,,,,,,,,,,,,,,,,,
11クリック目,江戸川コナン,"（博士、走って行ったな……
さーて、おっちゃんをこれからどうするかの方が暗号よりむずかしいぜ……）",,,,22,江戸川コナン,3,,,,,,,,,,,,,,
