調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,毛利蘭,"コナン君、知ってる？
この近くの<font color='#FF9D9D'>河川敷</font>で魚を取っている人がいるんだって……",1,毛利蘭,8,2,江戸川コナン,3,,,,河川敷,86,右,住宅街,2,IN,,,,,
2クリック目,江戸川コナン,あれ？　でも今は魚を取っちゃだめな期間なんじゃないの？,,,,25,江戸川コナン,3,,,,,,"右：非表示",,,,,,,,
3クリック目,毛利蘭,"そうなんだけど……河川敷にある禁漁期間の看板が
古くて小さいから気づかないで魚を取ってるのかも……",2,毛利蘭,8,,,,,,,,,,,,,,,,,
4クリック目,江戸川コナン,"でもボク、あの河川敷で釣りをしている人なんて
見たことないよ？",,,,,,,,,,,,,,,,,,,,
5クリック目,毛利蘭,"うん……噂だと、<font color='#FF9D9D'>夕暮れに棒を使って魚を取っている</font>らしいよ…",3,毛利蘭,8,,,,,,,,,,,,,,,,,
6クリック目,江戸川コナン,棒を使って魚を？,,,,13,江戸川コナン,3,,,,,,,,,,,,,,
7クリック目,毛利蘭,"ええ……<font color='#FF9D9D'>誰かが棒を川の中に入れてる</font>って話をよく聞くの…
薄暗いから人影しか見えないみたいなんだけど…",13,毛利蘭,8,,,,,,,,,,,,,,,,,
8クリック目,江戸川コナン,魚を捕まえてるって疑われてるような人はいないの？,,,,7,江戸川コナン,3,,,,,,,,,,,,,,
9クリック目,毛利蘭,"その時間に河川敷によく顔を出すのは、
<font color='#FF9D9D'>昆虫採集をしにくる小学生</font>と…",14,毛利蘭,8,,,,,,,浅沼はるお,48,右,,,,,,,,
10クリック目,毛利蘭,"<font color='#FF9D9D'>近くでよくお酒を飲んでいる男の人</font>…",12,毛利蘭,8,,,,,,,田原仁志,69,右,,,,,,,,
11クリック目,毛利蘭,"お酒を飲んでいる男の人は、空き瓶を放置してるみたいで、
近所の人が困っているみたい…",13,毛利蘭,8,,,,,,,,,,,,,,,,,
12クリック目,毛利蘭,"それに、<font color='#FF9D9D'>河川敷を休憩場所にしている大工さん</font>かな？",12,毛利蘭,8,,,,,,,合田真吾,67,右,,,,,,,,
13クリック目,毛利蘭,"大工さんは煙草を吸ってるみたいよ！
もくもく煙を出しているみたい！",,,,,,,,,,,,,,,,,,,,
14クリック目,江戸川コナン,（なるほど……となると、犯人はアイツだ！）,,,,15,江戸川コナン,3,,,,,,"右：非表示",,,,,,,,
