河川敷,,,Lv.2,,
,,,,,
事件概要,,,,,
証拠品ドロップアイテム,,,虫取り網,,0
事件現場（物探し）,,,河川敷,,0
クエストレベル,,,2,,0
依頼現場／対決場所,,,住宅街,,0
事件名,,,川魚にご用心,,0
事件概要,,,"河川禁漁区域で誰かが魚をこっそり取っているという噂がある。魚をとっている人物は、大きな岩の上に腹ばいになって棒のようなものを振り回して魚をとっているのだという。容疑者は、河川敷近くの森で昆虫採集をする同級生（男）、付近でお酒を飲んでいることを見られている泥棒風の男、付近でタバコを吸っているところを見られているガテン系の男性。さぁ、犯人はだれだろうか。
真相：容疑者の持ち物の中で、振り回すことで魚をとることができるのは虫取り網だけである。このことから、同級生（男）が犯人であると考えられる。彼は禁漁区であることを知らずに魚を捕まえようとしていたのだ。",,
依頼者,,,毛利蘭,,0
犯人名,,,同級生の男子（浅沼はるお）,,0
はずれ容疑者、物証①,,,泥棒風の男（田原仁志）,　：空きビン,
はずれ容疑者、物証②,,,ガテン系の男性（合田真吾）,　：携帯灰皿,
,,,,,
