,,,毛利蘭　証言③,,60文字以内,,,,,,,,,,,
,,,ID,場面,番号,キャラクター,シナリオ,,,画面,,,,,,確認結果
,,,,,,,"セリフ
54文字以内",字数,備考,左　　　　　　　　　　　　　表示キャラ（表情）,中央　　　　　　　　　　　表示キャラ（表情）,右　　　　　　　　　　　　　表示キャラ（表情）,"背景
(イメージ）",演出／効果,備考,コメント
,毛利蘭,,,,1,毛利蘭,船内のジムも本格的ね…いろんな器具がそろってるわ…メルドックさんはどのトレーニングをやっていたのかな…？,52,,,,,,,,
,,,笹川修一　証言③,,60文字以内,,,,,,,,,,,
,,,ID,場面,番号,キャラクター,シナリオ,,,画面,,,,,,確認結果
,,,,,,,"セリフ
54文字以内",字数,備考,左　　　　　　　　　　　　　表示キャラ（表情）,中央　　　　　　　　　　　表示キャラ（表情）,右　　　　　　　　　　　　　表示キャラ（表情）,"背景
(イメージ）",演出／効果,備考,コメント
,笹川修一,,,,1,笹川修一,ジムに行くにはプライベートエリアを通って行くしかありませんから、部外者が入り込むということは考えられませんね…,55,,,,,,,,
,,,嶋中郁江　証言③,,60文字以内,,,,,,,,,,,
,,,ID,場面,番号,キャラクター,シナリオ,,,画面,,,,,,確認結果
,,,,,,,"セリフ
54文字以内",字数,備考,左　　　　　　　　　　　　　表示キャラ（表情）,中央　　　　　　　　　　　表示キャラ（表情）,右　　　　　　　　　　　　　表示キャラ（表情）,"背景
(イメージ）",演出／効果,備考,コメント
,嶋中郁江,,,,1,嶋中郁江,ウェアが1着足りないこと以外には、変わったことはありません！でも…用具がちょっとキレイ過ぎるかも…使った跡がありません…,60,,,,,,,,
,,,横溝参悟　証言②,,60文字以内,,,,,,,,,,,
,,,ID,場面,番号,キャラクター,シナリオ,,,画面,,,,,,確認結果
,,,,,,,"セリフ
54文字以内",字数,備考,左　　　　　　　　　　　　　表示キャラ（表情）,中央　　　　　　　　　　　表示キャラ（表情）,右　　　　　　　　　　　　　表示キャラ（表情）,"背景
(イメージ）",演出／効果,備考,コメント
,横溝参悟,,,,1,横溝参悟,さっき子供達が見つけたドアチェーンの鎖と黄色い糸は鑑識に回しました…まあ、とくに変わった所は無いようですが…,54,,,,,,,,
,,,メリンダ　証言②,,60文字以内,,,,,,,,,,,
,,,ID,場面,番号,キャラクター,シナリオ,,,画面,,,,,,確認結果
,,,,,,,"セリフ
54文字以内",字数,備考,左　　　　　　　　　　　　　表示キャラ（表情）,中央　　　　　　　　　　　表示キャラ（表情）,右　　　　　　　　　　　　　表示キャラ（表情）,"背景
(イメージ）",演出／効果,備考,コメント
,メリンダ・メルドック,,,,1,メリンダ・メルドック,午後4時半頃から、私は専属の美容師にメイクをさせていましたわ…5時半過ぎまでかかりました…もちろん、パーティーのためです…,61,,,,,,,,
,,,シンプソン　証言①,,60文字以内,,,,,,,,,,,
,,,ID,場面,番号,キャラクター,シナリオ,,,画面,,,,,,確認結果
,,,,,,,"セリフ
60文字以内",字数,備考,左　　　　　　　　　　　　　表示キャラ（表情）,中央　　　　　　　　　　　表示キャラ（表情）,右　　　　　　　　　　　　　表示キャラ（表情）,"背景
(イメージ）",演出／効果,備考,コメント
,トニー・シンプソン,,,,1,トニー・シンプソン,ティータイムの後は、僕はパーティの準備を手伝っていました…会長の遺体が発見されるまで、他のクルーとずっと一緒にいましたよ！,61,,,,,,,,
,,,工藤有希子　証言①,,60文字以内,,,,,,,,,,,
,,,ID,場面,番号,,シナリオ,,,画面,,,,,,確認結果
,,,,,,,"セリフ
60文字以内",字数,備考,左　　　　　　　　　　　　　表示キャラ（表情）,中央　　　　　　　　　　　表示キャラ（表情）,右　　　　　　　　　　　　　表示キャラ（表情）,"背景
(イメージ）",演出／効果,備考,コメント
,工藤有希子,,,,1,工藤有希子,"黄色い糸の落ちていた所にドアチェーンのちぎれた鎖も一緒に落ちていたわ…
この２つには、関係があるかも知れないわね！",57,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
毛利蘭,,1,,,,,,,,,,,,,,
笹川修一,,1,,,,,,,,,,,,,,
嶋中郁江,,1,,,,,,,,,,,,,,
横溝参悟,,1,,,,,,,,,,,,,,
工藤有希子,,1,,,,,,,,,,,,,,
メリンダ,,1,,,,,,,,,,,,,,
シンプソン,,1,,,,,,,,,,,,,,
井戸原耕市,,0,,,,,,,,,,,,,,
工藤優作,,0,,,,,,,,,,,,,,
