ステージ3導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,横溝参悟,"いやあ…外国船で事件と聞いて、面倒なことになりはしないかと心配してたんですが、
毛利さんがいてくださるとは…大船に乗った気分ですよ！",5,横溝参悟,20,,,,,,,,,,洋館（赤の部屋）,25,IN
2クリック目,毛利小五郎,あ？…シャレのつもりか…？,,,,11,毛利小五郎,4,,,,,,,,,
3クリック目,横溝参悟,"はい…？まあ、それはそうと、事件現場の部屋があるデッキに入れた3人には、
死亡推定時刻のアリバイがあって…凶器も見つからず…",13,横溝参悟,20,,,,,,,,,,,,
4クリック目,横溝参悟,しかも、死体発見時には部屋にはドアチェーンがかけられていた…つまり密室…,,,,,,,,,,,,,,,
5クリック目,吉田歩美,あー！こんなところに糸が落ちてる！,,,,,,,10,吉田歩美,12,,,,,,
6クリック目,円谷光彦,あ、本当だ！これは怪しいですね…歩美ちゃん、お手柄ですよ！,2,円谷光彦,15,,,,,,,,,,,,
7クリック目,毛利小五郎,…おい…お前ら…事件現場に入り込んで、何やってんだ！！,,,,10,毛利小五郎,4,,,,,,,,,
8クリック目,小嶋元太,だってよお！船はしばらく港に戻れないって言うし…たいくつなんだよー！,,,,,,,5,小嶋元太,17,,,,,,
9クリック目,毛利小五郎,お前らなあ…ガキの遊びじゃねーんだぞ！！,,,,,,,,,,,,,,,
10クリック目,工藤有希子,まあまあ…次はメルドックさんが最後にいたジムを調べた方がいいんじゃないかしら…？,6,工藤有希子,94,,,,,,,,,,,,
11クリック目,横溝参悟,そうですね…ここはひと通り調べましたし…ジムへ行ってみましょう！,1,横溝参悟,20,,,,,,,,,,,,
12クリック目,工藤有希子,（じゃあ…新ちゃん、ここはヨロシクね…）,3,工藤有希子,94,,,,,,,,,,,,
13クリック目,江戸川コナン,（はいはい…）なあ歩美ちゃん、見つけた糸ってどんなヤツだった？,,非表示,0,2,江戸川コナン,3,,,,,,,,,
14クリック目,吉田歩美,これだよ…わりと太くて、黄色い糸…,,,,,,,3,吉田歩美,12,,,,,,
15クリック目,江戸川コナン,黄色い糸か…？,,,,7,江戸川コナン,3,,,,,,,,,
16クリック目,,,,,,,非表示,0,,非表示,0,,,,黒背景,999,IN
17クリック目,嶋中郁江,…ここが、客室デッキ最上階のジムです…,,,,,,,1,嶋中郁江,99,,,,スポーツジム,30,IN
18クリック目,横溝参悟,ほほう…こりゃ立派なもんですなあ…船の中に、こんな設備が…,1,横溝参悟,20,,,,,,,,,,,,
19クリック目,毛利小五郎,それで、メルドックさんは、ここでどんなトレーニングをやっていたんでしょう？,,,,9,毛利小五郎,4,,,,,,,,,
20クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,一人でしたら、ランニングマシーンや筋トレだと思いますわ…1日おきに1時間ほどジムで汗を流すのが彼の習慣でしたので…,,,,,,,1,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,96,,,,,,
21クリック目,横溝参悟,用具はみんなキレイに片づけられてますね…どれを使ったのかはわかりませんな…,,,,,,,,,,,,,,,
22クリック目,嶋中郁江,あの…それが、いま気付いたのですが、少し変なんです…,,,,,,,5,嶋中郁江,99,,,,,,
23クリック目,横溝参悟,ん？何が変なんですか？,,,,,,,,,,,,,,,
24クリック目,嶋中郁江,昨夜、数をチェックしたときよりもウェアの数が1枚、足りないんです…メルドック会長が着ていたのを引いても、あと1着無いんです…,,,,,,,,,,,,,,,
25クリック目,毛利小五郎,そりゃあ、単に数え間違たんじゃないんですかあ…？,,,,,,,,,,,,,,,
26クリック目,工藤有希子,それはないと思うわ…この船はVIPしか乗らない高級クルーザー…そういう船はクルーも優秀な人ばかりで、管理もしっかりしているはずよ…,1,工藤有希子,94,,,,,,,,,,,,
27クリック目,嶋中郁江,はい…数は、間違いないと思います…,,,,,,,,,,,,,,,
28クリック目,横溝参悟,じゃあ、被害者の他にジムを利用した人物がいると…？,13,横溝参悟,20,,,,,,,,,,,,
29クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,私は違います…ここには一度も来ていませんわ…,,,,,,,1,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,96,,,,,,
30クリック目,トニー・シンプソン,僕もです…僕は秘書ですので、勝手にジムを使ったりできませんから…,,,,1,トニー・シンプソン,100,,,,,,,,,
31クリック目,工藤有希子,でも、このジムもプライベートエリアの中にあるのよね…それなら、勝手に部外者が入ってくることはできない…,1,工藤有希子,94,,,,,,,,,,,,
32クリック目,毛利小五郎,あなたはどうです？…井戸原さん？,,,,9,毛利小五郎,4,,,,,,,,,
33クリック目,井戸原耕市,私もジムには来ていません…私は運動をする習慣がないので…,,,,,,,1,井戸原耕市,97,,,,,,
34クリック目,トニー・シンプソン,そういえば井戸原さん、さっきデッキで辛そうなご様子でしたけど、大丈夫ですか？,,,,1,トニー・シンプソン,100,,,,,,,,,
35クリック目,井戸原耕市,えっ…！？だ、大丈夫ですよ…さっきも言いましたが、軽い船酔いですよ…はは…どうぞ、ご心配なく…,,,,,,,2,井戸原耕市,97,,,,,,
36クリック目,毛利小五郎,"ふーむ…メルドックさんの他に、もう一人ジムにいたとすれば…その人物が
何か事件のカギを握っているのかも知れんな…",,,,5,毛利小五郎,4,,,,,,,,,
37クリック目,横溝参悟,何か…ピンと来ましたか！？来たんですか！？…毛利さん…！,6,横溝参悟,20,,,,,,,,,,,,
