ステージ１導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,鷹梨路子,警部さん…父は…誰かに殺されてしまったのでしょうか…,,,,5,鷹梨路子,78,,,,鷹梨道明,10006,右,旧公家屋敷の日本間,28,IN
2クリック目,綾小路文麿,"いまのところは…なんとも…
今は事件の直前にお父上に会ったと思われるこちらの3人について、調べている
だけで…",1,綾小路文麿,36,,,,,,,,,右：非表示,,,
3クリック目,毛利小五郎,"まとめると…古美術商の小金原さんは、自分の商売がうまくいかず、
自分も金に困っていた…
そこで、この家の家宝『比翼之鳥図』に目をつけた…",,,,,,,5,毛利小五郎,4,,,,,,
4クリック目,鷹梨路子,"あの屏風絵は、父がとくに愛していたもので、これだけは絶対に人手には
渡さないと、よく言っていました…",,,,5,鷹梨路子,78,,,,,,,,,
5クリック目,毛利小五郎,"はい、しかし高値で売れると見込んだ小金原さんは執拗に道明さんに売るよう
説得していた…",,,,,,,,,,,,,,,
6クリック目,毛利小五郎,ひょっとすると、話がこじれて…という事も考えられます…,,,,,,,,,,,,,,,
7クリック目,小金原周蔵,"そ、そんな！確かにあの屏風絵はええものです…
だからと言うて、長い付き合いの道明さんを殺してまで手に入れようなんて…！",,,,1,小金原周蔵,76,,,,,,,,,
8クリック目,毛利小五郎,"つぎに、権田さんですが、やはりお父上の負債の取り立てにやってきていた
ようです…",,,,,非表示,0,7,毛利小五郎,4,,,,,,
9クリック目,権田研二,だから！俺はここのオヤジが死んだのとは何も関係ないって言うてるやろ！,,,,1,権田研二,80,,,,,,,,,
10クリック目,毛利小五郎,"まあ、この通り、根がタチの悪いチンピラですから…脅すつもりが、つい暴力になって
ということがあったのかもしれませんなあ…",,,,,,,,,,,,,,,
11クリック目,鷹梨路子,そうですか…やはり、父はこの方からきつい取り立てを…,,,,5,鷹梨路子,78,,,,,,,,,
12クリック目,毛利小五郎,"最後は、カメラマンの瀬川さんですが…とくに動機になりそうな事は見つかってません…
美術品に興味があった様ですので、盗みに入って…ということも考えられなくはないですが…",,,,,,,,,,,,,,,
13クリック目,瀬川幸治,そんな盗みなんて…ボクはこのカメラで古美術品の写真を撮りたかっただけですよ！,,,,5,瀬川幸治,79,,,,,,,,,
14クリック目,江戸川コナン,"（あのカメラ…あちこちに傷がついて年季が入ってるな…ストラップも汚れて
黒ずんでるし…）",7,江戸川コナン,3,,,,,,,,,,,,
15クリック目,綾小路文麿,"まあ、こんな調子で、3人ともお父上の事件との関係を否定しておられますし、
決め手となるような証拠もまだ…",1,綾小路文麿,36,,非表示,0,,,,,,,,,
16クリック目,鷹梨路子,そうですか…,,,,5,鷹梨路子,78,,,,,,,,,
17クリック目,江戸川コナン,"（確かに、動機が考えられるのは小金原と権田…瀬川にはない…
手がかりは…井戸に残った傷跡……）",13,江戸川コナン,3,,,,,,,,,,,,
18クリック目,遠山和葉,"ねぇねぇ、蘭ちゃん…あの井戸、かなり深いし狭いから、
道明さん引き上げるの大変やったんとちゃう？",,,,,,,1,遠山和葉,11,,,,,,
19クリック目,毛利蘭,…うん…私…お化けが出そうであまり近寄っていないの…,,,,7,毛利蘭,8,,,,,,,,,
20クリック目,遠山和葉,"蘭ちゃんは怖がりやな～
でもあの井戸に降りていくのは勇気いるやろね…昇って来られへんくなりそう…",,,,,,,,,,,,,,,
21クリック目,毛利蘭,そうね…消防の人も道明さん引き上げるのにかなり苦労していたみたい…,,,,,,,,,,,,,,,
22クリック目,江戸川コナン,(降りるのに、勇気がいる…？),14,江戸川コナン,3,,,,,,,,,,,,
23クリック目,服部平次,なぁ、警部ハン、道明さんの手のひらにあった傷、なんなのか分かったんか？,,,,,非表示,0,1,服部平次,5,,,,,,
24クリック目,綾小路文麿,"道明はんの手のひらにあった傷のことですか…
傷跡の分析から、化学繊維でできた何かベルトのようなものでついたらしいと…",1,綾小路文麿,36,,,,,,,,,,,,
25クリック目,服部平次,化学繊維のベルトのようなもの…？,,,,,,,15,服部平次,5,,,,,,
26クリック目,綾小路文麿,"そうです…端のところが強くこすれると、手に傷がついてしまうような…ナイロン製の
ベルトやストラップのようなもんです…",,,,,,,,,,,,,,,
27クリック目,服部平次,じゃぁ、争った時なにかをつかんだ可能性があるっちゅう事か！,,,,,,,1,服部平次,5,,,,,,
28クリック目,江戸川コナン,（ベルトかストラップ…待てよ！あの人の……）,14,江戸川コナン,3,,,,,,,,,,,,
