調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,毛利蘭,なんだか運動場のほうが騒がしいけど……人が倒れてる！,7,毛利蘭,8,,,,,,,,,,学校の校庭,7,IN,,,,,
2クリック目,勝俣ヒロシ,どうしよう……急に先輩が倒れて……,,,,1,勝俣ヒロシ,56,,,,,,,,,,,,,,
3クリック目,鈴木園子,急に倒れた！？　原因は分からないの？,,,,,,,7,鈴木園子,13,,,,,,,,,,,
4クリック目,勝俣ヒロシ,"腹痛みたいだから
もしかしたらなにか良くないものを口にしたのかも……",,,,,,,,,,,,,,,,,,,,
5クリック目,毛利蘭,"とりあえず倒れた人はすぐに保健室に運ぶとして…
原因を明らかにしておかないと、
また誰かが倒れるかもしれない！",,,,,,,,,,,,,,,,,,,,
6クリック目,勝俣ヒロシ,"そ、そうですよね！
実は僕…、<font color='#FF9D9D'>先輩にヤカンの水を渡してるんです</font>……
それが原因だったら…ど、どうしよう！",,,,,,,,,,,,,,,,,,,,
7クリック目,勝俣ヒロシ,"<font color='#FF9D9D'>僕以外にも先輩に何か飲ませた人がいる</font>かもしれません……
先輩が何を口にしたのか知ってる人を集めてきます！",,,,,,,,,,,,,,,,,,,,
8クリック目,"――",数分後……,,"非表示",0,,"非表示",0,,"非表示",0,,,,,,,,,,,
9クリック目,勝俣ヒロシ,"この2人が、僕の他に先輩に飲み物をあげたって
言っています…",,,,1,勝俣ヒロシ,56,7,鈴木園子,13,,,,,,,,,,,
10クリック目,鈴木園子,"じゃぁ、その時の状況を聞かせなさいよ！
何が原因だったか、この推理クイーン園子様があててあげるわ！",,,,,,,2,鈴木園子,13,,,,,,,,,,,
11クリック目,気谷タケル,"ああ…、あいつが欲しがったから
<font color='#FF9D9D'>飲みかけのスポーツドリンクを渡した</font>ぜ？",1,気谷タケル,55,,,,,,,,,,,,,,,,,
12クリック目,気谷タケル,"だけど、同じものを飲んでるオレは平気なんだ！
腹痛の原因はオレじゃねぇよ！",,,,,,,,,,,,,,,,,,,,
13クリック目,鈴木園子,"ホントに飲んでるの～？
今ここで飲んでみせてよ！",,,,,,,1,鈴木園子,13,,,,,,,,,,,
14クリック目,気谷タケル,"もうとっくに飲み終わったよ！
それより、あっちの女もなんか渡してたぜ！",,,,,,,,,,,,,,,,,,,,
15クリック目,武井真美,"あたしだって無関係だし！
<font color='#FF9D9D'>先輩にミネラルウォーターを渡した</font>けど
あたしはサッカー部のマネージャーなんだから当然でしょ！",1,武井真美,46,,,,,,,,,,,,,,,,,
16クリック目,武井真美,"あたし、マネージャーとして洗濯とか掃除もやってんだよ？
昨日なんか<font color='#FF9D9D'>部室の雨漏りがひどいから
ヤカンを置いて部室が水浸しにならないようにした</font>んだから！",,,,,,,,,,,,,,,,,,,,
17クリック目,武井真美,"あたしはこれでも真面目なマネージャーなの！
腹痛の原因は、あたしのミネラルウォーターじゃない！",,,,,,,,,,,,,,,,,,,,
18クリック目,毛利蘭,"（きっとこの中に腹痛の原因をつくった人がいるはず……
誰なんだろう？
……あれ…、あの人あのとき…）",13,毛利蘭,8,,,,,,,,,,,,,,,,,
