ステージ4導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,笹川修一,あ、毛利探偵、それに皆さん！こちらでしたか…,1,笹川修一,98,,,,,,,,,,スポーツジム,31,IN
2クリック目,工藤有希子,あら…船長さん、どうしたの？,,,,2,工藤有希子,94,,,,,,,,,
3クリック目,笹川修一,"さっき、メルドック会長が亡くなった時間は午後4時頃だとパーサーから聞いたのですが、
それは本当ですか？",5,笹川修一,98,,,,,,,,,,,,
4クリック目,横溝参悟,ええ、検視の結果、死後2時間以上はたっていたと思われます…,,,,,,,1,横溝参悟,20,,,,,,
5クリック目,笹川修一,そんな…,,,,,,,,,,,,,,,
6クリック目,毛利小五郎,どうしたんですか、船長！？,,,,9,毛利小五郎,4,,,,,,,,,
7クリック目,笹川修一,実は、私が午後5時頃に、会長の部屋をノックしたら中から返事があったんです…,,,,,,,,,,,,,,,
8クリック目,工藤有希子,何ですって…！？,,,,1,工藤有希子,94,,,,,,,,,
9クリック目,横溝参悟,まさかそんな！5時と言うのは間違いないんですか！？,,,,,,,6,横溝参悟,20,,,,,,
10クリック目,笹川修一,"はい、「パーティーは予定通り6時から開始します」とドア越しに伝えたのですが…中から、
「わかった、予定通りだな…」と返事が…",,,,,,,,,,,,,,,
11クリック目,毛利小五郎,…いったい、どうなってるんだ！？,,,,10,毛利小五郎,4,,,,,,,,,
12クリック目,工藤有希子,ねえ船長さん！その声って本当にメルドックさんだったの！？,,,,1,工藤有希子,94,,,,,,,,,
13クリック目,笹川修一,"え…いや、確かめたわけじゃありませんが…でも、
中年男性の声で、英語で答えたので…会長だと思ったんです…",,,,,,,,,,,,,,,
14クリック目,横溝参悟,"これは、いったいどういうことなんでしょう！？その時間なら、部屋の中で
すでにメルドックさんが殺されていたはずですよ！",,,,,,,,,,,,,,,
15クリック目,工藤有希子,"（午後5時…死亡推定時刻の1時間後にメルドックさんの部屋に誰かがいた…
とすると…それはきっと…）",,,,,,,,,,,,,,,
16クリック目,,,,非表示,0,,非表示,0,,非表示,0,,,,黒背景,999,IN
17クリック目,江戸川コナン,ねえ、おじさん！,,,,,,,2,江戸川コナン,3,,,,洋館,13,IN
18クリック目,井戸原耕市,ん？…おや、君達は確か有希子さんが招待した…,1,井戸原耕市,97,,,,,,,,,,,,
19クリック目,江戸川コナン,うん、有希子おば…お姉さんはボクの親戚なんだよ…で、おじさんはメルドックさんのお友達なの？,,,,,,,,,,,,,,,
20クリック目,井戸原耕市,ああ、そうだよ…25年前に私がアメリカの大学に留学していた時に知り合ったんだ…,,,,,,,,,,,,,,,
21クリック目,吉田歩美,へー！そんなに長い間友達でいるなんて、本当の仲良しなのね！,,,,1,吉田歩美,12,,,,,,,,,
22クリック目,井戸原耕市,"仲良しか…確かに、そうだった…出会ってすぐに彼と親しくなってね…
一度は2人で会社を作ったこともあったんだよ…",,,,,,,,,,,,,,,
23クリック目,灰原哀,親友でもあり、ビジネスパートナーでもあったというわけね…,,,,,,,2,灰原哀,9,,,,,,
24クリック目,小嶋元太,何だ？そのビジ…パー何とかって…？,,,,5,小嶋元太,17,,,,,,,,,
25クリック目,灰原哀,仕事上での仲間ってことよ…,,,,,,,11,灰原哀,9,,,,,,
26クリック目,井戸原耕市,"最初は本当に小さい会社だった…だが、ロブは本当に才能のある経営者だった…
あっという間に会社が大きくなってね…",,,,,,,,,,,,,,,
27クリック目,円谷光彦,大成功したんですね！じゃあ…おじさんも、大金持ちなんですか！？,,,,1,円谷光彦,15,,,,,,,,,
28クリック目,井戸原耕市,いやあ、私は大したことはないよ…会社が大きくなってすぐに私は辞めてしまってね、日本に帰ってきたんだ…,2,井戸原耕市,97,,,,,,,,,,,,
29クリック目,吉田歩美,えー、どうして？,,,,5,吉田歩美,12,,,,,,,,,
30クリック目,井戸原耕市,ん…それは…まあ、日本が恋しくなったのかもしれないね…ははは…,,,,,,,,,,,,,,,
31クリック目,江戸川コナン,（……）,,,,,,,7,江戸川コナン,3,,,,,,
32クリック目,小嶋元太,わかったぞ！大人のクセに、母ちゃんに会いたくなったんだろー！？,,,,1,小嶋元太,17,,,,,,,,,
33クリック目,井戸原耕市,ははは…,,,,,,,,,,,,,,,
34クリック目,江戸川コナン,（殺されたメルドックさんと、他の3人の関係をもっと調べた方がよさそうだな…）,,,,,,,,,,,,,,,
