ステージ6導入ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,灰原哀,また河川敷よ…私は木陰で待ってるから、隠した宝物を見つけてきてちょうだい…,,,,1,灰原哀,9,,,,,,,河川敷,15,IN,,,,,
2クリック目,円谷光彦,よーし！ボクが必ず見つけてみせますよ！,,,,,,,1,円谷光彦,15,,,,,,,,,,,
3クリック目,吉田歩美,哀ちゃん、大丈夫？疲れてない？,9,吉田歩美,12,,,,,,,,,,,,,,,,,
4クリック目,灰原哀,"大丈夫よ……夏の暑い中こんなにも歩き回ったから…
少し…疲れてるかしら…",,,,5,灰原哀,9,,,,,,,,,,,,,,
5クリック目,円谷光彦,えーー！灰原さん大丈夫ですか？,,,,,,,10,円谷光彦,15,,,,,,,,,,,
6クリック目,小嶋元太,おい、灰原！無理すんなよ！,1,小嶋元太,17,,,,,,,,,,,,,,,,,
7クリック目,灰原哀,"ええ、そんなに心配するほどでもないわ…
みんなが探している間、木陰で休んでるから…",,,,,,,,,,,,,,,,,,,,
8クリック目,円谷光彦,"はい！そうしてください！
無理はいけませんよ！",,,,,,,1,円谷光彦,15,,,,,,,,,,,
9クリック目,灰原哀,わかったわ…ありがとう…,,,,2,灰原哀,9,,,,,,,,,,,,,,
10クリック目,円谷光彦,"い、いえ！そんな…ボクは当然のことを言ったまでで…
…さ、さぁ！みなさん！行きましょう！",,,,,,,2,円谷光彦,15,,,,,,,,,,,
11クリック目,江戸川コナン,この水筒のスポーツドリンク、飲んでおけよ…,2,江戸川コナン,3,,,,,,,,,,,,,,,,,
12クリック目,江戸川コナン,あと、一応タオルを川の水で濡らして、ワキの下とか冷やしとけ！,,,,,,,,,,,,,,,,,,,,
13クリック目,灰原哀,…ったく、心配性なんだから…,,,,1,灰原哀,9,,,,,,,,,,,,,,
