ステージ8導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,江戸川コナン,ここは…書斎だね！,,,,2,江戸川コナン,3,,,,,,,図書館,16,IN
2クリック目,吉田歩美,あ！コナン君！待ってたのよ！,2,吉田歩美,12,,,,,,,,,,,,
3クリック目,江戸川コナン,あーゴメンゴメン…迷っちゃって…,,,,5,江戸川コナン,3,,,,,,,,,
4クリック目,小嶋元太,おせーぞ！コナン！,,,,,,,7,小嶋元太,17,,,,,,
5クリック目,江戸川コナン,"…わりィ…
あ、でもおっちゃん連れて来たから…",,,,2,江戸川コナン,3,,,,,,,,,
6クリック目,毛利小五郎,この俺が一緒に探してやろう！,,,,11,毛利小五郎,4,,,,,,,,,
7クリック目,小嶋元太,別に必要ねーぞ！,,,,,,,,,,,,,,,
8クリック目,吉田歩美,歩美たち、コナン君がいない間に７つ目の宝石見つけたんだもん！,3,吉田歩美,12,,,,,,,,,,,,
9クリック目,江戸川コナン,…おぉ！すごいね歩美ちゃん！,,,,3,江戸川コナン,3,,,,,,,,,
10クリック目,吉田歩美,"うん！でもみんな一緒に探した方が楽しいよね！
よーし！宝石、探すぞー！",,,,,,,,,,,,,,,
