エンディングストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,毛利小五郎,悪魔の声だと？　そんなもんは聞いてないぞ！,1,吉田歩美,12,11,毛利小五郎,4,1,江戸川コナン,3,,,,公園,3,IN,,,,,
2クリック目,吉田歩美,歩美、聞いたもん！悪魔みたいな声だった！！,5,吉田歩美,12,,,,,,,,,,,,,,,,,
3クリック目,江戸川コナン,"え～？おじさんみたいな名探偵が
大きな音に気づかないなんておかしいな～
……“眠り”の小五郎って呼ばれるくらいすごい人なのに……",,,,,,,2,江戸川コナン,3,,,,,,,,,,,
4クリック目,毛利小五郎,"“眠り”……
確かオレは<font color='#FF9D9D'>アイマスク</font>を使って事務所で昼寝をしていて……
そうか、分かったぞ！",,"非表示",0,7,毛利小五郎,4,,,,アイマスク,289,左,,,,,,,,
5クリック目,江戸川コナン,（そうそう、その調子だおっちゃん…）,5,吉田歩美,12,,,,3,江戸川コナン,3,,,"左：非表示",,,,,,,,
6クリック目,毛利小五郎,"俺が寝ている間に、誰かが侵入しようとして
音を立てたんだ！間違いねぇ！",,,,9,毛利小五郎,4,,,,,,,,,,,,,,
7クリック目,江戸川コナン,"ガクッ……ちっ違うでしょ！おじさんが寝ている時に
出す音と言ったら……",,,,,,,22,江戸川コナン,3,,,,,,,,,,,
8クリック目,毛利小五郎,"うん？あっ俺のイビキか！
そんなに大きかったか？",,,,5,毛利小五郎,4,,,,,,,,,,,,,,
9クリック目,江戸川コナン,"寝ている本人は気付かないからね……
(すぐに分かってくれよ……おっちゃん……)",,,,,,,5,江戸川コナン,3,,,,,,,,,,,
10クリック目,吉田歩美,"なーんだ…おじさんのイビキだったの？
怖がって損しちゃった…",2,吉田歩美,12,,,,,,,,,,,,,,,,,
