調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,吉田歩美,"コ、コナン君……
実は、コナン君にお話があるの……",10,吉田歩美,12,1,江戸川コナン,3,,,,,,,公園,3,IN,,,,,
2クリック目,江戸川コナン,"どうしたの歩美ちゃん？
顔が真っ青だけど……",,,,10,江戸川コナン,3,,,,,,,,,,,,,,
3クリック目,吉田歩美,"昨日ね、コナン君に借りてたハンカチを返そうと思って…
<font color='#FF9D9D'>事務所</font>に行ったの……",5,吉田歩美,12,,,,,,,探偵事務所,83,右,,,,,,,,
4クリック目,吉田歩美,"それでね、事務所のドアをノックしようと思ったら…
…な、<font color='#FF9D9D'>中から悪魔の声</font>が聞こえてきたんだ！",10,吉田歩美,12,,,,,,,,,"右：非表示",,,,,,,,
5クリック目,江戸川コナン,悪魔の声？,,,,7,江戸川コナン,3,,,,,,,,,,,,,,
6クリック目,吉田歩美,"うん！
<font color='#FF9D9D'>「グォォォ」みたいな声が中からして</font>……
歩美、怖いからすぐに逃げたの！",,,,,,,,,,,,,,,,,,,,
7クリック目,吉田歩美,…も、もしかして…事務所が呪われちゃったんじゃないかな…？,,,,,,,,,,,,,,,,,,,,
8クリック目,江戸川コナン,（昨日の事務所か……誰がいたかな…？）,,,,13,江戸川コナン,3,,,,,,,,,,,,,,
9クリック目,江戸川コナン,"（たしか朝、蘭が<font color='#FF9D9D'>掃除機</font>をかけて……
いや…、<font color='#FF9D9D'>掃除機</font>が壊れてたからホウキで掃除をしたんだ……）",,,,14,江戸川コナン,3,,,,掃除機,294,右,,,,,,,,
10クリック目,江戸川コナン,"（昼頃、園子が遊びに来て
新しく買ったっていう<font color='#FF9D9D'>デジカメ</font>を自慢してたな……
その後、蘭と園子は出かけたな…）",,,,15,江戸川コナン,3,,,,デジカメ,285,右,,,,,,,,
11クリック目,江戸川コナン,"（他に事務所にいたのはおっちゃんか……
おっちゃんは一日中事務所にいたはずだけど
妙な音が聞こえたなんて話はしてなかったな……）",,,,13,江戸川コナン,3,,,,,,"右：非表示",,,,,,,,
12クリック目,江戸川コナン,"（最近、<font color='#FF9D9D'>寝不足で疲れ気味</font>だっていってたけど……
さすがにドアの外まで響くような音は聞き逃さないだろ……）",,,,,,,,,,,,,,,,,,,,
13クリック目,江戸川コナン,（いや、待てよ……そうか！　悪魔の声の正体が分かったぞ！）,,,,9,江戸川コナン,3,,,,,,,,,,,,,,
