探偵事務所,,,Lv.3,,
,,,,,
事件概要,,,,,
証拠品ドロップアイテム,,,アイマスク,,5
事件現場（物探し）,,,探偵事務所,,5
クエストレベル,,,3,,1
依頼現場／対決場所,,,公園,,2
事件名,,,探偵事務所の怪音,,8
事件概要,,,"毛利探偵事務所に遊びに行った歩美ちゃんは事務所の入り口で怪物の鳴き声のような声を聞き、恐ろしくなって逃げ出した。翌日、そのことをコナンに相談し、怪音の正体を突き止めることに。事件当日、事務所にずっといたのは毛利小五郎だけだが、小五郎は怪音を聞いていない。小五郎は最近寝不足で疲れ気味だが、怪音に気づかないのは不自然である。その他に事務所に顔を出したのは蘭、園子。蘭は掃除機をかけようとしたが、掃除機が壊れていたので諦めた。園子は蘭に新しく買ったデジカメを自慢していた。以上の条件から怪音を出していた人物を暴け。
真相：ずっと室内にいたはずの小五郎が怪音を聞いていなかった。このことから、彼が音を認識することができない状況で怪音が発生したと考えられる。この条件を満たす自然な状況は、小五郎が居眠りしていたことであり、怪音の正体は彼のイビキだったのである。",,376
依頼者,,,吉田歩美,,4
犯人名,,,毛利小五郎,,5
はずれ容疑者、物証①,,,毛利蘭,：掃除機,3
はずれ容疑者、物証②,,,鈴木園子,：デジカメ,4
はずれ容疑者、物証③,,,,,
