調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,江戸川コナン,"（次の授業は算数か……あれっ！？
オレの<font color='#FF9D9D'>算数のノートに知らない絵が描かれて</font>るぞ！）",1,江戸川コナン,3,,,,,,,,,,教室,1,IN
2クリック目,江戸川コナン,"（…描かれてるのは<font color='#FF9D9D'>事務所の窓から見下ろした外の景色だ</font>……
ということは、描いたのは事務所に入ったことのあるヤツだな…）",10,江戸川コナン,3,,,,,,,,,,,,
3クリック目,江戸川コナン,"（そういや昨日、元太たちが探偵事務所で絵を描いて
遊んでたな……落書きされたのはあの時か！）",11,江戸川コナン,3,,,,,,,,,,,,
4クリック目,江戸川コナン,元太、昨日は事務所で何の絵を描いてたんだ？,2,江戸川コナン,3,,,,,,,,,,,,
5クリック目,小嶋元太,"ん？　オレは<font color='#FF9D9D'>バインダー</font>を持って事務所の中を探検して……
事務所の中の色々なものを描いたぜ！",,,,1,小嶋元太,17,,,,バインダー,277,右,,,
6クリック目,江戸川コナン,（確かに元太はバインダーを持ってたな……）,13,江戸川コナン,3,,,,,,,,,,,,
7クリック目,小嶋元太,"バインダーって便利だよなー!
机が無くても、絵がかけるからいろんなところを描いたんだぜー！",,,,3,小嶋元太,17,,,,,,,,,
8クリック目,江戸川コナン,歩美ちゃんは？,2,江戸川コナン,3,,,,,,,,,右：非表示,,,
9クリック目,吉田歩美,歩美は<font color='#FF9D9D'>手帳</font>にお花の絵を描いてたよ？,,,,,非表示,0,2,吉田歩美,12,手帳,275,中央,,,
10クリック目,江戸川コナン,（歩美ちゃんは手帳か……）,13,江戸川コナン,3,,,,,,,,,,,,
11クリック目,吉田歩美,"図鑑にあった春のお花を描いていたの！
蘭お姉さんが図鑑を貸してくれたんだ！",,,,,,,1,吉田歩美,12,,,,,,
12クリック目,江戸川コナン,光彦は？,2,江戸川コナン,3,,,,,,,,,中央：非表示,,,
13クリック目,円谷光彦,"ボクは自分のノートを持って行ったんですけど
何を描こうか迷ってしまって
結局最後まで絵は完成しませんでした……",,,,5,円谷光彦,15,,非表示,0,,,,,,
14クリック目,江戸川コナン,（そういや光彦、何度もノートを破って<font color='#FF9D9D'>紙くず</font>にしてたな……）,13,江戸川コナン,3,,,,,,,紙くず,298,右,,,
15クリック目,江戸川コナン,"（そうか！描かれた絵は窓際に立たなきゃ見られない風景……
ということは、オレのノートに絵を描いたのはアイツだ！）",2,江戸川コナン,3,,,,,,,,,右：非表示,,,
