探偵事務所,,,Lv.2,,
,,,,,
事件概要,,,,,
証拠品ドロップアイテム,,,バインダー,,0
事件現場（物探し）,,,探偵事務所,,0
クエストレベル,,,2,,0
依頼現場／対決場所,,,教室,,0
事件名,,,落書き犯は誰だ,,0
事件概要,,,"コナンが教室でノートを開くと、ノートに落書きが描かれていた。どうやら、探偵事務所で誰かに落書きをされたらしい。落書きで描かれていたのは、探偵事務所の窓から外をみた景色だった。その景色は窓の近くに立たないと描けない。昨日、コナンたちは探偵事務所でお絵かきをして遊んでいた。その時、歩美は持ってきた手帳に絵を描いていた。光彦はノートに絵を描いていたが、何度も失敗してはページを破って紙くずにしていた。元太はバインダーを持って事務所中をうろついていた。以上の情報から、落書き犯を特定せよ。
真相：絵は窓の外を見なければ描けないものだった。その絵を描くことができるのは、バインダーを持って室内を徘徊していた元太だけである。",,
依頼者,,,江戸川コナン,,0
犯人名,,,小嶋元太,,0
はずれ容疑者、物証①,,,吉田歩美,：手帳,0
はずれ容疑者、物証②,,,円谷光彦,：紙くず,
はずれ容疑者、物証③,,,,,
