ステージ１導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,綾小路文麿,"路子はん、小金原さんから話を聞けましたよ…
瀬川は連絡がついてこっちに向こうてくれはるみたいです…
権田は連絡がつきまへん…",1,綾小路文麿,36,,,,,,,,,,旧公家屋敷の日本間,28,IN
2クリック目,鷹梨路子,それで…何かわかったのですか…？,,,,5,鷹梨路子,78,,,,,,,,,
3クリック目,毛利小五郎,"小金原さんは、午前中にお父上を訪ねたと言っていましたが、用が済んで
すぐに帰ったと言ってましたな…",,,,,,,1,毛利小五郎,4,,,,,,
4クリック目,綾小路文麿,"道明氏は、負債を整理する為に、鷹梨家に伝わる古美術品を小金原に
売っていたようですな…",1,綾小路文麿,36,,,,,,,,,,,,
5クリック目,鷹梨路子,そうですか…父はそんな事を…,,,,5,鷹梨路子,78,,,,,,,,,
6クリック目,江戸川コナン,"ねえお姉さん！お姉さんのお家って、高価な美術品がたくさんあるの？
その中で特に高価なものってあるの？",3,江戸川コナン,3,,,,,,,,,,,,
7クリック目,鷹梨路子,そうね…私は美術品には詳しくないけど…たくさんあったわ…,,,,5,鷹梨路子,78,,,,,,,,,
8クリック目,江戸川コナン,へぇー…,3,江戸川コナン,3,,,,,,,,,,,,
9クリック目,鷹梨路子,"そういえば、高価かはわからないけど父が特に大事にしていた屏風絵があったわ…
鳥の絵が描いてあるの…
瀬川さんっていうカメラマンさんもその屏風絵の写真を撮りたいって言っていらしてたのよ…",,,,5,鷹梨路子,78,,,,,,,,,
10クリック目,江戸川コナン,ふーん…そうなんだ…,1,江戸川コナン,3,,,,,,,,,,,,
11クリック目,毛利小五郎,おい、そんなこと聞いてどうすんだ！？事件と関係ねーだろ！,,,,,,,10,毛利小五郎,4,,,,,,
12クリック目,江戸川コナン,あはは…そうだね…ちょっと知りたかっただけ…,5,江戸川コナン,3,,,,,,,,,,,,
13クリック目,毛利小五郎,…ったく…,,,,,,,11,毛利小五郎,4,,,,,,
14クリック目,江戸川コナン,"（高価な美術品を狙った犯行…という線も考えられるか…
　瀬川ってカメラマンも美術品に興味があるみたいだしな…
　権田はなぜ行方をくらませているのか…）",13,江戸川コナン,3,,,,,,,,,,,,
