調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,江戸川コナン,（町内清掃か…この前もやったような…）,6,江戸川コナン,3,,,,,,,,,,繁華街,5,IN,,,,,
2クリック目,小嶋元太,せっかくの休みなのに、めんどくせーなあ…,,,,5,小嶋元太,17,,,,,,,,,,,,,,
3クリック目,円谷光彦,"元太君、文句ばっかり言ってないで手を動かしてください！
面倒ですが、世の中の役に立つんですよ！",,,,,,,1,円谷光彦,15,,,,,,,,,,,
4クリック目,阿笠博士,それじゃ、わしがゴミ拾いが楽しくなるようなクイズをだそう！,,,,1,阿笠博士,6,,,,,,,,,,,,,,
5クリック目,吉田歩美,"クイズ！？
どんなクイズ？？",1,吉田歩美,12,,,,,,,,,,,,,,,,,
6クリック目,阿笠博士,今回のは難しいぞ～！,,,,,,,,,,,,,,,,,,,,
7クリック目,阿笠博士,"<font color='#FF9D9D'>頭が濁ると体が透けて、お腹が抜けるとゴミしか残らないものは…</font>
なーんじゃ？",,,,12,阿笠博士,6,,,,,,,,,,,,,,
8クリック目,阿笠博士,"この繁華街にあるものじゃよ！
ごみ拾いしながら考えてみなさい！",,,,,,,,,,,,,,,,,,,,
9クリック目,小嶋元太,おーし！ぜってー正解するぜ！うーん…,,,,3,小嶋元太,17,,,,,,,,,,,,,,
10クリック目,吉田歩美,なんだろう…あ、もしかして…あれかな？,9,吉田歩美,12,,,,,,,,,,,,,,,,,
11クリック目,円谷光彦,ボクも負けませんよ！えーっと…,,,,,,,14,円谷光彦,15,,,,,,,,,,,
12クリック目,江戸川コナン,…おい…お前らごみ拾いするのも忘れるなよ？,10,江戸川コナン,3,,"非表示",0,,"非表示",0,,,,,,,,,,,
13クリック目,阿笠博士,ゴミ拾いを頑張っておったら、答えに出会えるかもしれんのォ…,,,,1,阿笠博士,6,,,,,,,,,,,,,,
