調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,小嶋元太,"……ったく、おかしいよなあ！
絶対、もう１本残ってたはずなのに……",5,小嶋元太,17,1,江戸川コナン,3,,,,,,,学校の校庭,7,IN
2クリック目,江戸川コナン,おいおい元太、まだ焼きイモの話かよ……,,,,6,江戸川コナン,3,,,,,,,,,
3クリック目,小嶋元太,だってよー……,,,,,,,,,,,,,,,
4クリック目,江戸川コナン,"しょうがねえなあ……
もう１度、詳しく話してみろよ！",,,,5,江戸川コナン,3,,,,,,,,,
5クリック目,小嶋元太,"ああ……
あの日は博士の研究室の掃除をしながら、
庭の落ち葉で焼きイモを焼いてたんだけどよ……",3,小嶋元太,17,,,,,,,,,,,,
6クリック目,小嶋元太,"実はみんなの分以外に、こっそりもう1本オレ用の焼きイモ焼いてて……
みんなで食べ終わった後に、掃除が終わってそれを取りに行ったんだよ……
そしたら……なくなってたんだよな！",5,小嶋元太,17,,,,,,,,,,,,
7クリック目,江戸川コナン,"その時、オレはちょうどいなかったから、
よくわからねーけど……
その時のみんなの様子はどうだった？",,,,2,江戸川コナン,3,,,,,,,,,
8クリック目,小嶋元太,"歩美は洗い物をしてたぜ！
<font color='#FF9D9D'>ゴム手袋</font>をしたままだった……",3,小嶋元太,17,,,,,,,ゴム手袋,90,右,,,
9クリック目,小嶋元太,"灰原は<font color='#FF9D9D'>のこぎり</font>を持ってた……
外に置きっぱなしだったって文句言われたぜ！",,,,,,,,,,のこぎり,112,右,,,
10クリック目,小嶋元太,"光彦はドブ掃除って言ってたけど、
水たまりで遊んでいたかもな……
落ち葉の張りついた<font color='#FF9D9D'>長ぐつ</font>をはいてた……",,,,,,,,,,長ぐつ,89,右,,,
11クリック目,江戸川コナン,"焼きイモのあった落ち葉の中はどうなってた？
まだ熱かったのか？",,,,,,,,,,,,右：非表示,,,
12クリック目,小嶋元太,"すげえ熱くて、手は入れられねえよ！
やけど覚悟で泥棒したんだろうな！",10,小嶋元太,17,,,,,,,,,,,,
13クリック目,江戸川コナン,"犯人がやけどしてたら、すぐにわかるけど……
いや、だれもやけどしていないってことは、
……そうか、あれを使ったんだ！",,,,13,江戸川コナン,3,,,,,,,,,
14クリック目,小嶋元太,も、もしかしてその顔、犯人わかったのか？,7,小嶋元太,17,,,,,,,,,,,,
15クリック目,小嶋元太,"だ、誰なんだ！
オレにこっそり教えてくれよ！",,,,,,,,,,,,,,,
