調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,灰原哀,"あら、歩いているうちに百貨店の前に……
せっかくだから誰かさんに新しいハンカチを買って貰おうかしら……",2,灰原哀,9,1,阿笠博士,6,,,,,,,百貨店,9,IN,,,,,
2クリック目,阿笠博士,な、なんじゃ？　誰かさんって……,,,,5,阿笠博士,6,,,,,,,,,,,,,,
3クリック目,灰原哀,"安心して……博士のことじゃないわよ……
ほら、この前、私が留守にしていた時……
私の<font color='#FF9D9D'>お気に入りのハンカチに誰かさんがシミをつけてくれちゃった</font>でしょ？",,,,,,,,,,,,,,,,,,,,
4クリック目,阿笠博士,"ああ、あの<font color='#FF9D9D'>草木染めのハンカチ</font>か！
ぐっしょりと濡れているのが干されていたが、
<font color='#FF9D9D'>ずいぶんひどく変色しておった</font>のう……",,,,12,阿笠博士,6,,,,,,,,,,,,,,
5クリック目,灰原哀,"そう……
だからその誰かさんをつきとめて、きっちり、
弁償させなくちゃ……",12,灰原哀,9,,,,,,,,,,,,,,,,,
6クリック目,阿笠博士,"そういえば、あの日は<font color='#FF9D9D'>みんなで、
実験ごっこをやっておった</font>んじゃ！",,,,1,阿笠博士,6,,,,,,,,,,,,,,
7クリック目,灰原哀,"実験ごっこ？
どんな実験をやってたの？",1,灰原哀,9,,,,,,,,,,,,,,,,,
8クリック目,阿笠博士,"そうだのう……たしか、<font color='#FF9D9D'>歩美君はフラスコを使って、
塩の結晶を作る実験をしておった！</font>
すごくキレイな結晶が出来ていたのう！",,,,,,,,,,フラスコ,107,右,,,,,,,,
9クリック目,阿笠博士,"<font color='#FF9D9D'>新一はシャーレに酢を出して、あぶり出しをしておった</font>……",,,,,,,,,,シャーレ,106,右,,,,,,,,
10クリック目,阿笠博士,"<font color='#FF9D9D'>光彦君は小麦粉を使ってグルテンの抽出実験じゃ！</font>
グルテンは代用ガムになるんじゃぞ！",,,,,,,,,,白い粉,93,右,,,,,,,,
11クリック目,灰原哀,ガムね……代用にしてもあんまりな味だと思うけど……,,,,,,,,,,,,"右：非表示",,,,,,,,
12クリック目,阿笠博士,"<font color='#FF9D9D'>元太君は試験管で作った砂糖水で、
べっこう飴を作っておった！</font>
あれはなかなかの味だったのう！",,,,,,,,,,試験管,101,右,,,,,,,,
13クリック目,灰原哀,"べっこう飴なんて砂糖と水があればできるんだから、
焦がしさえしなければそれなりの味だものね……",,,,,,,,,,,,"右：非表示",,,,,,,,
14クリック目,灰原哀,"というか……今の話を総合すると、
誰かさんの正体がわかったわ……",12,灰原哀,9,,,,,,,,,,,,,,,,,
15クリック目,灰原哀,"さてと……
じっくり締め上げに行きますか……",4,灰原哀,9,,,,,,,,,,,,,,,,,
16クリック目,阿笠博士,お、お手柔らかにのう……,,,,5,阿笠博士,6,,,,,,,,,,,,,,
