エンディングストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,毛利小五郎,"ふわぁ～ぁ…難事件も無事に解決…と！
さあて…うまい京の酒に…祇園のキレイどころ…でへへ…",,,,27,毛利小五郎,4,,,,,,,京都の街並み,32,IN
2クリック目,毛利蘭,"もう、お父さんったら！
…でも、道明さん…本当は瀬川さんやみどりさんをどう思ってたんだろうね…？",,,,,,,7,毛利蘭,8,,,,,,
3クリック目,江戸川コナン,うーん…どうかなあ？,,,,13,江戸川コナン,3,,,,,,,,,
4クリック目,服部平次,「比翼之鳥」…やろ？,1,服部平次,5,,,,,,,,,,,,
5クリック目,毛利蘭,あの、屏風絵の事？道明さんが大事にしていた…,,,,,,,13,毛利蘭,8,,,,,,
6クリック目,服部平次,"ああ、そうや！「比翼の鳥」ちゅうのはな、古代中国の伝説の鳥や…
雄雌のつがいが、一体になって空を飛ぶという…",,,,,,,,,,,,,,,
7クリック目,遠山和葉,"じゃあ、道明さんはみどりさんと自分をあの屏風絵に重ねて、ずっと思てたのかな…
でも、そうだとしたら、悲しすぎるわ…",,,,,,,1,遠山和葉,11,,,,,,
8クリック目,江戸川コナン,（…道明さん…みどりさんと息子を思う本当の気持ちは、もうわからなくなってしまったけどな…）,,,,20,江戸川コナン,3,,,,,,,,,
9クリック目,服部平次,"…よっしゃ！せっかくここまで来たんや！
大阪でたこ焼き食お！な、ええやろ！？",2,服部平次,5,,,,,,,,,,,,
10クリック目,,,,非表示,0,,非表示,0,,非表示,0,,,,,,
11クリック目,毛利小五郎,え…？祇園のキレイどころと酒は……？,,,,10,毛利小五郎,4,,,,,,,,,
