調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,毛利蘭,やっぱり、京都の街並みって、いつ来てもいいわね～！,,,,,,,3,毛利蘭,8,,,,京都の街並み,32,IN
2クリック目,遠山和葉,せやろ、蘭ちゃん！でも、これから行く嵐山のもみじも、すっごいキレイなんやで！,,,,2,遠山和葉,11,,,,,,,,,
3クリック目,毛利蘭,"うん！この季節の京都ってガイドブックでもオススメされてたから楽しみ！
誘ってくれてありがとね、和葉ちゃん！",,,,,,,2,毛利蘭,8,,,,,,
4クリック目,遠山和葉,"それだけやないで、今回は蘭ちゃんたちのために、おいしい和菓子のお店、
ぎょうさん調べておいたんや！もっと感謝してーな！",,,,1,遠山和葉,11,,,,,,,,,
5クリック目,毛利蘭,ほんと！？京都の和菓子屋さんめぐり…それも、すごく楽しそう！！ね、コナン君？,,,,,,,1,毛利蘭,8,,,,,,
6クリック目,江戸川コナン,え？…ま、まあ、そうだね…はは…,22,江戸川コナン,3,,,,,,,,,,,,
7クリック目,服部平次,"…ったく、もみじはええとしても、そんな甘ったるいもん食べて回って、なにが
おもろいっちゅうんや…",,,,5,服部平次,5,,,,,,,,,
8クリック目,江戸川コナン,つまんねーんなら、わざわざおまえがついて来ることはねえんだぜ？,11,江戸川コナン,3,,,,,,,,,,,,
9クリック目,服部平次,"やかまし！俺は和葉がおまえらを誘って京都のもみじ祭りに行きたいちゅうから、
道案内をしたろと思って、親切で来てんのやで！",,,,10,服部平次,5,,,,,,,,,
10クリック目,江戸川コナン,（紅葉に和菓子か…どうせ、おっちゃんも興味ねーだろうな…）,11,江戸川コナン,3,,,,,,,,,,,,
11クリック目,毛利小五郎,"…うーん…もみじを眺めながらの京の酒かあ…こりゃ楽しみになってきたぞ！
キレイなもみじを眺めた後は…夜の街のキレイどころと…わっはっは…！",27,毛利小五郎,4,,,,,,,,,,,,
12クリック目,白鳥任三郎,おや…？毛利さんじゃないですか？,,,,1,白鳥任三郎,26,,,,,,,,,
13クリック目,毛利小五郎,あれ？白鳥？？……,1,毛利小五郎,4,,,,,,,,,,,,
14クリック目,毛利蘭,白鳥警部！どうしたんですか？京都で…,,,,,,,9,毛利蘭,8,,,,,,
15クリック目,白鳥任三郎,"いやぁ、休暇をとっておりましてね、京都で紅葉を見ながらのんびりすごそうかと…
毛利さん達も観光ですか？",,,,1,白鳥任三郎,26,,,,,,,,,
16クリック目,毛利蘭,"はい、そうです！和葉ちゃんがもみじ祭りに誘ってくれて…
それでみんなで京都に遊びに来たんです！",,,,,,,2,毛利蘭,8,,,,,,
17クリック目,白鳥任三郎,"もみじ祭りか…たしかに今週末に催されますね、なるほど…
私は紅葉も奇麗なので、散歩していたんですよ…この辺りは静かですし…",,,,1,白鳥任三郎,26,,,,,,,,,
18クリック目,遠山和葉,この辺はな、もとお公家さんとか、昔からの名家のお屋敷がいくつもあるんよ！,,,,1,遠山和葉,11,,,,,,,,,
19クリック目,毛利蘭,"へえ…そうなんだ…わあ、このお屋敷、すごい立派な門があるのね…
いったい、どんな人が住んでんだろう？",,,,,,,9,毛利蘭,8,,,,,,
20クリック目,服部平次,どんな人て…そりゃやっぱり、金持ちなやつやろ？,,,,2,服部平次,5,,,,,,,,,
21クリック目,鷹梨路子,きゃああああっ…！,,,,5,鷹梨路子,78,,,,,,,,,
22クリック目,江戸川コナン,…！？,4,江戸川コナン,3,,非表示,0,,非表示,0,,,,,,
23クリック目,毛利小五郎,な、なんだ…今の！？,10,毛利小五郎,4,,,,,,,,,,,,
24クリック目,鷹梨路子,…お父さん！！お父さん！！…だ、誰かーー！,,非表示,0,5,鷹梨路子,78,,,,,,,,,
25クリック目,江戸川コナン,この屋敷の中から悲鳴が…！？,4,江戸川コナン,3,,非表示,0,,,,,,,,,
26クリック目,服部平次,おい！この家の中や！行くで！！,,,,10,服部平次,5,,,,,,,,,
27クリック目,鷹梨路子,お父さん…！お父さーん！！,,,,5,鷹梨路子,78,,,,,,,旧公家屋敷の日本間,28,IN
28クリック目,江戸川コナン,（あの女の人…井戸にすがりついてる…何があったんだ！？）,4,江戸川コナン,3,,,,,,,,,,,,
29クリック目,白鳥任三郎,どうしたんですか！？…何があったんですか！？,,,,1,白鳥任三郎,26,,,,,,,,,
30クリック目,鷹梨路子,父が…父が、この井戸の中に…！！,,,,5,鷹梨路子,78,,,,,,,,,
31クリック目,服部平次,何やて！？…ほ、ほんまや！井戸の底に頭から落ちとる！早く助けんと！！,,,,10,服部平次,5,,,,,,,,,
32クリック目,毛利小五郎,助けるって言っても…どうやってこの井戸の中に下りるんだよ！？,10,毛利小五郎,4,,,,,,,,,,,,
33クリック目,服部平次,くそっ…！！どうしたら…何か…何か手はないんか！？,,,,15,服部平次,5,,,,,,,,,
34クリック目,江戸川コナン,（この狭い井戸の中…壁は垂直で足場もない…ちくしょう…なにか梯子のようなものは…！）,4,江戸川コナン,3,,,,,,,,,,,,
35クリック目,鷹梨路子,お父さん…そんな…お父さん！！ああっ…！！,,,,5,鷹梨路子,78,,,,,,,,,
36クリック目,毛利小五郎,くっ…蘭！…救急車を呼べ！,10,毛利小五郎,4,,,,,,,,,,,,
37クリック目,毛利蘭,は、はいっ…！,,,,,,,7,毛利蘭,8,,,,,,
38クリック目,白鳥任三郎,京都府警には私から連絡します！,,,,1,白鳥任三郎,26,,,,,,,,,
