調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,毛利蘭,"あ、そうだ！　事務所にあったジュースが
全部なくなってたから、新しいのを買って帰らないとね！",3,毛利蘭,8,1,江戸川コナン,3,,,,,,,繁華街,5,IN,,,,,
2クリック目,江戸川コナン,"ジュースが全部なくなってた？
ボクの分のジュースが冷蔵庫にあったと思うんだけど……",,,,25,江戸川コナン,3,,,,,,,,,,,,,,
3クリック目,毛利蘭,"そういえばコナン君…
昨日の朝、限定販売のジュースを冷蔵庫にしまってたわよね……",12,毛利蘭,8,,,,,,,,,,,,,,,,,
4クリック目,毛利蘭,"昨日、<font color='#FF9D9D'>元太君たち</font>が事務所に来てたから…
その時に誰かが間違えて飲んじゃったのかな？",13,毛利蘭,8,,,,,,,小嶋元太,17,右,,,,,,,,
5クリック目,江戸川コナン,ボクがいないのにみんな事務所に来てたの？,,,,,,,,,,,,"右：非表示",,,,,,,,
6クリック目,毛利蘭,コナン君と事務所で会う約束をしたって言ってたわよ？,1,毛利蘭,8,,,,,,,,,,,,,,,,,
7クリック目,江戸川コナン,"（あー、そういえば昨日は別の事件に巻き込まれて
事務所に帰るの遅くなっちまったけど、そんな約束してたんだったな……）",,,,6,江戸川コナン,3,,,,,,,,,,,,,,
8クリック目,毛利蘭,"元太君、光彦君、歩美ちゃんが
事務所でずっとコナン君の帰りを待ってたんだから！",,,,,,,,,,,,,,,,,,,,
9クリック目,江戸川コナン,"ボク、その約束をすっかり忘れてた……
みんな怒ってた？",,,,22,江戸川コナン,3,,,,,,,,,,,,,,
10クリック目,毛利蘭,"お菓子を食べてたし、そんな怒った様子じゃなかったかな……
みんな飲み物も飲んでたしね！",2,毛利蘭,8,,,,,,,,,,,,,,,,,
11クリック目,江戸川コナン,"ねぇ、蘭姉ちゃん！
その時の様子を詳しく教えてよ！",,,,3,江戸川コナン,3,,,,,,,,,,,,,,
12クリック目,毛利蘭,"歩美ちゃんは熱いお茶を飲もうとして
<font color='#FF9D9D'>湯飲みをずっと持ってた</font>わね……だけど、うちの<font color='#FF9D9D'>電気ポットが
壊れてたからお湯が出なくて</font>、しかたなく水で我慢してたわ……",13,毛利蘭,8,,,,,,,湯飲み,278,右,,,,,,,,
13クリック目,毛利蘭,"元太君は<font color='#FF9D9D'>お菓子と一緒にみかんを食べて</font>いて
ノドが乾かないからいいって何も飲み物を飲んでなかったわね……",,,,,,,,,,みかん,290,右,,,,,,,,
14クリック目,毛利蘭,"光彦君は<font color='#FF9D9D'>インスタントのホットコーヒーを
自分でコーヒーカップに入れて飲んでいた</font>かしら……
でも、そんなことを聞いてどうするの？",,,,,,,,,,コーヒーカップ,280,右,,,,,,,,
15クリック目,江戸川コナン,"（なるほど……おかしな行動をしているアイツが、
どうやらジュースを勝手に飲んだみたいだ……
ちょっと聞いてみるか…）",,,,13,江戸川コナン,3,,,,,,"右：非表示",,,,,,,,
