探偵事務所,,,Lv.1,,
,,,,,
事件概要,,,,,
証拠品ドロップアイテム,,,コーヒーカップ,,0
事件現場（物探し）,,,探偵事務所,,0
クエストレベル,,,1,,0
依頼現場／対決場所,,,繁華街,,0
事件名,,,ジュースを飲んだのは？,,0
事件概要,,,"繁華街で買い物中、コナンが飲むのを楽しみにしていたジュースが、何者かに飲み干されたと蘭の発言から明らかになる。蘭の話では、ジュースを飲むチャンスがあったのは、歩美、元太、光彦だけである。子ども３人は事務所でお菓子を食べたのだが、それぞれが飲み物を飲んだ。以下はそれぞれの証言。歩美は熱いお茶を飲もうとしたが、電気ポットが壊れていてお湯が手に入らないためため諦めた。元太はみかんだけを食べ、何も飲まなかった。光彦はホットのインスタントコーヒーをコーヒーカップで飲んだ。なお現在、電気ポットは故障中である。証言の矛盾を突き、犯人を導け。
真相：ポットは修理中であったため、インスタントコーヒーをつくったという光彦の証言には矛盾がある。ジュースを飲んだのは光彦であり、それを誤魔化すために嘘をついたのである。",,
依頼者,,,毛利蘭,,0
犯人名,,,円谷光彦,,0
はずれ容疑者、物証①,,,吉田歩美,：湯飲み,0
はずれ容疑者、物証②,,,小嶋元太,：みかん,
はずれ容疑者、物証③,,,,,
