調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,小嶋元太,"おーい光彦！歩美！
駅に仮面ヤイバーのポスターが貼ってあるみたいだぜ！
見に行こうぜ！",1,小嶋元太,17,1,円谷光彦,15,1,吉田歩美,12,,,,住宅街,2,IN
2クリック目,円谷光彦,"え？今からですか？
雨も結構降っているし……
明日でも良いんじゃないですか?",,,,5,円谷光彦,15,,,,,,,,,
3クリック目,小嶋元太,"雨なんていいから行こうぜ！
スッゲーでっかくてよォ…カッコいいらしいぜ！",2,小嶋元太,17,,,,,,,,,,,,
4クリック目,吉田歩美,"そんなにカッコいいなら歩美も見たいなー！
行こうよ！",,,,,,,3,吉田歩美,12,,,,,,
5クリック目,小嶋元太,"おっ！あった！
仮面ヤイバーのポスターだ！
やっぱり仮面ヤイバーはカッケーな！",1,小嶋元太,17,,,,,,,,,,駅,4,IN
6クリック目,吉田歩美,ほんとだー！すっごくカッコいいね！！,,,,,,,,,,,,,,,
7クリック目,小嶋元太,"……あれ？
あーーーーっ！",10,小嶋元太,17,,,,,,,,,,,,
8クリック目,円谷光彦,どうしたんですか！？元太君！,,,,1,円谷光彦,15,,,,,,,,,
9クリック目,小嶋元太,か、仮面ヤイバーの顔が……！,,,,,,,,,,,,,,,
10クリック目,円谷光彦,"あっ！<font color='#FF9D9D'>ポスターの顔の部分がよれてへこんで</font>ますね！
ここには屋根があるし……雨に当たった訳ではなさそうですね……
高い場所に貼ってあるから、雨が跳ねて付いたということもなさそうだし……",,,,14,円谷光彦,15,,,,,,,,,
11クリック目,小嶋元太,"誰がこんなイタズラしたんだ！
仮面ヤイバーになんてことするんだ！…許せねえ！",7,小嶋元太,17,,,,,,,,,,,,
12クリック目,円谷光彦,"元太君…
まだイタズラと決まった訳では……",,,,10,円谷光彦,15,,,,,,,,,
13クリック目,小嶋元太,"おい！光彦！
犯人を捜そうぜ！",,,,,,,,,,,,,,,
14クリック目,円谷光彦,"ええ！？
元太君！待ってくださいよ！",,,,,,,,,,,,,,,
15クリック目,小嶋元太,"まずは聞き込みからだな！
あそこの売店の人に聞いてみようぜ！",,,,,,,,,,,,,,,
16クリック目,円谷光彦,もう…わかりましたよ！,,,,,,,,,,,,,,,
17クリック目,-,ー聞き込みー,,非表示,0,,非表示,0,,非表示,0,,,,,,
18クリック目,円谷光彦,"売店の定員さんの話によると……
<font color='#FF9D9D'>5分程前には、ポスターはあんな状態にはなっていなかった</font>みたいですね……
そして5分前から今までにポスターの前に居た人は3人のようです！",,,,13,円谷光彦,15,,,,,,,,,
19クリック目,吉田歩美,きっとその3人の中に仮面ヤイバーにひどいことした人がいるのね！,,,,,,,7,吉田歩美,12,,,,,,
20クリック目,円谷光彦,"まず１人目は、<font color='#FF9D9D'>携帯電話</font>を持って
眠たそうにしていた、高校生くらいの背が高いお兄さん…",,,,1,円谷光彦,15,,非表示,0,向井こうじ,47,右,,,
21クリック目,円谷光彦,２人目は<font color='#FF9D9D'>キャリーバッグ</font>に座って休んでいた小柄なお姉さん…,,,,,,,,,,上杉夕夏,52,右,,,
22クリック目,円谷光彦,"そして３人目は<font color='#FF9D9D'>リュック</font>からハンカチを取り出して、
雨でびしょ濡れになった服を拭いていた男の子がいたみたいです…",,,,,,,,,,兵藤まさる,61,右,,,
23クリック目,小嶋元太,…みんな怪しいな！,7,小嶋元太,17,,,,,,,,,右：非表示,,,
24クリック目,円谷光彦,"ええ！？そんな無茶苦茶ですよ…
……でも……これだけじゃ誰がやったかは特定出来ませんね…",,,,5,円谷光彦,15,,,,,,,,,
25クリック目,吉田歩美,"うーん…でもさ、このポスターちょっと見えづらいよね…
凹んでいるところをよく見たいのに、私の背の高さじゃ全然見えないよ…<font color='#FF9D9D'>身長が2倍くらいあったら見えた</font>かも！",,,,,,,5,吉田歩美,12,,,,,,
26クリック目,円谷光彦,"そうですね…このポスターかなり大きいので遠くからでも見えますが、
<font color='#FF9D9D'>近寄るとボクの背の高さくらいがポスターの底辺があたり</font>ますね…",,,,,,,,,,,,,,,
27クリック目,円谷光彦,"…そうか！ポスターが貼ってあった位置と、
へこんでいた場所を考えると……
もしかしてあの人かもしれません！",,,,13,円谷光彦,15,,,,,,,,,
