エンディングストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情,左キャラ名,カードID,表情,中央キャラ,カードID,表情,右キャラ,カードID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,円谷光彦,"あ！きっとあの人ですよ！
あの！すみません！",1,円谷光彦,15,,,,,,,,,,駅,4,IN
2クリック目,向井こうじ,ん？何だキミたち？,,,,1,向井こうじ,47,,,,,,,,,
3クリック目,円谷光彦,"お兄さん、さっき仮面ヤイバーの
ポスターに寄り掛かりましたよね？",2,円谷光彦,15,,,,,,,,,,,,
4クリック目,向井こうじ,"え？ポスター……？
……あぁ、もしかすると眠くてウトウトしていた時か？
それがどうかしたのか？",,,,,,,,,,,,,,,
5クリック目,吉田歩美,"ヤイバーの顔の部分が凹んじゃったのよ！
お兄さんがやったの？",,,,,,,5,吉田歩美,12,,,,,,
6クリック目,向井こうじ,"え！？顔の部分が……？
丁度頭の高さくらいか……
ウトウトしてる時に濡れた髪が当たっちまったのかもしれないな……",,,,,,,,,,,,,,,
7クリック目,円谷光彦,"やっぱり……
そうだと思いましたよ……",13,円谷光彦,15,,,,,,,,,,,,
8クリック目,小嶋元太,"おい、兄ちゃん！
今度からは気を付けろよな！",,,,,,,7,小嶋元太,17,,,,,,
9クリック目,向井こうじ,"あ、ああ……
悪かったよ……",,,,,,,,,,,,,,,
10クリック目,円谷光彦,犯人が分かって良かったですね！元太君！,2,円谷光彦,15,,,,,,,,,,,,
11クリック目,小嶋元太,ありがとな！光彦！,,,,,,,2,小嶋元太,17,,,,,,
