駅,,,Lv1,,
,,,,,
事件概要,,,,,
証拠品ドロップアイテム,,,携帯電話,,4
事件現場（物探し）,,,駅,,1
クエストレベル,,,1,,1
依頼現場／対決場所,,,駅,,1
事件名,,,ヤイバーポスターの謎,,10
事件概要,,,"雨の日、駅構内に貼られている仮面ヤイバーのポスターを見に来た元太と光彦。しかし、ポスターの上部にある、ヤイバーの顔のあたりが、よれてへこんでいる。両隣のポスターは綺麗な状態であるため、ヤイバー嫌いの者による故意のいたずらと断定した元太は怒り、犯人を探し出すことに。ポスターが見える位置にある売店の店員さんの話によると、5分ほど前まではそんな状態にはなっていなかったという。疑わしいのはその間にポスター前にやってきた以下の3人。携帯電話を持って眠そうにしているイケメン。キャリーバッグに腰かけ、気だるそうにしているSHOP店員。かばんからハンカチを取り出しびしょ濡れになった服を拭いていたガキ大将。ポスターの貼られている位置は、床から90cmの高さにあり、ポスター自体の高さは約90cmある。また、ポスターは雨が当たらない屋内に設置されているので、当然濡れてはいない。以上の条件から犯人を特定せよ。

",,400
依頼者,,,小嶋元太,,4
犯人名,,,向井こうじ,,11
はずれ容疑者、物証①,,,上杉夕夏,：キャリーバッグ,
はずれ容疑者、物証②,,,兵藤まさる,：リュック,
はずれ容疑者、物証③,,,,,
