調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,円谷光彦,"（ガチャ…ガチャ…）
あれ…？何か引っかかっているような…",10,円谷光彦,15,,,,,,,,,,教室,1,IN
2クリック目,江戸川コナン,ん…？どうした、光彦？ドアの鍵がどうかしたのか？,,,,10,江戸川コナン,3,,,,,,,,,
3クリック目,円谷光彦,"コナン君…ドアの鍵の調子がおかしいんですよ…キーを差して回そうとしたら、
すごく重たくて…何か引っかかってるんでしょうか…？",14,円谷光彦,15,,,,,,,,,,,,
4クリック目,江戸川コナン,"どれ…うーん、キーの方は問題ないみたいだな…曲がったりもしてないし…
と言うことは、鍵穴の方が故障したのかな…？",,,,14,江戸川コナン,3,,,,,,,,,
5クリック目,円谷光彦,"うーん…えいっ！…えいっ！
（ガチャ！…ガチャ！…）",4,円谷光彦,15,,,,,,,,,,,,
6クリック目,江戸川コナン,お、おい光彦！そんな無理にやらない方が…,,,,10,江戸川コナン,3,,,,,,,,,
7クリック目,円谷光彦,きっと何度もやってみれば、そのうちよく回るようになりますよ…えいっ…！,,,,,,,,,,,,,,,
8クリック目,円谷光彦,"（…ガチャッ！！…）
…あ、あれ…？",5,円谷光彦,15,,,,,,,,,,,,
9クリック目,江戸川コナン,今度はどうした？…うまく回ったみたいだけど…,,,,11,江戸川コナン,3,,,,,,,,,
10クリック目,円谷光彦,"た、大変です！コナン君！今度は鍵がかかった場所から戻らなくなってしまいました！！
…僕たち、教室に閉じ込められちゃいましたよ！",10,円谷光彦,15,,,,,,,,,,,,
11クリック目,江戸川コナン,おいおい…そんなにあわてなくても、先生を呼べば…,,,,,,,,,,,,,,,
12クリック目,小嶋元太,"何だって！？…教室から出られないのかよ！？
どうすんだよ！光彦！今日は早く帰らないと……",,,,,,,10,小嶋元太,17,,,,,,
13クリック目,円谷光彦,はっ…そうですよ！帰れなくなったら一大事ですよ！！,,,,,,,,,,,,,,,
14クリック目,江戸川コナン,え？一大事って…何だよ…,,,,10,江戸川コナン,3,,,,,,,,,
15クリック目,小嶋元太,"頼むよコナン！何とかしてくれ！お前ならどうにかできるだろ！？
教室にある道具でさ、鍵をチョイチョイって…",,,,,,,,,,,,,,,
16クリック目,円谷光彦,僕からもお願いしますコナン君！そうでないと…僕…！,,,,,,,,,,,,,,,
17クリック目,江戸川コナン,"そ、そんなに大事な用があるのか…わかったよ、しょうがないな…
でも、教室にある道具で使えそうなものは…",,,,9,江戸川コナン,3,,,,,,,,,
18クリック目,灰原哀,さっきからうるさいわね…私、今日のうちに宿題を終わらせたいんだけど…,,,,,,,11,灰原哀,9,,,,,,
19クリック目,円谷光彦,灰原さん！手に持っているそれは何ですか…？,14,円谷光彦,15,,非表示,0,,,,,,,,,
20クリック目,灰原哀,ただの<font color='#FF9D9D'>鉛筆</font>よ…これがどうかしたの…？,,,,,,,5,灰原哀,9,鉛筆,140,中央,,,
21クリック目,円谷光彦,"鉛筆ですか…
元太君は何か役に立ちそうなものは持っていないんですか！？",,,,,,,,,,,,,,,
22クリック目,小嶋元太,"俺か？…俺は今日、当番だから、さっきまで<font color='#FF9D9D'>金魚鉢の水替え</font>をやってたぜ！
この水で何とかできるのか！？",,,,,,,1,小嶋元太,17,水槽,124,中央,,,
23クリック目,吉田歩美,…皆どうしたの？…ドアの鍵が開かなくなっちゃったの？,,,,,,,5,吉田歩美,12,,,中央：非表示,,,
24クリック目,円谷光彦,そうなんです歩美ちゃん！何か使えそうなものを持っていませんか！？,5,円谷光彦,15,,,,,,,,,,,,
25クリック目,吉田歩美,"うーん…わたしはこの<font color='#FF9D9D'>コンパス</font>で円をきれいに書く練習をしてたんだけど…
これ、役に立つかなあ…",,,,,,,,,,コンパス,138,中央,,,
26クリック目,江戸川コナン,なるほど…今ここにあるのは、鉛筆に金魚鉢の水とコンパスか…,,,,13,江戸川コナン,3,,,,,,中央：非表示,,,
27クリック目,江戸川コナン,"<font color='#FF9D9D'>回りにくくなった鍵に必要なものは…すべりやすくする物だ…</font>
その代わりになるものと言えば……そうか…！",,,,,,,,,,,,,,,
28クリック目,江戸川コナン,オメーらよかったな…何とかなりそうだぜ！,,,,12,江戸川コナン,3,,,,,,,,,
29クリック目,小嶋元太,頼むよコナン！早く帰らないと大変なんだ！！,,,,,,,7,小嶋元太,17,,,,,,
