エンディングストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情",左キャラ名,カードID,"表情",中央キャラ,カードID,"表情",右キャラ,カードID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,灰原哀,これはただの鉛筆だって言ったでしょ？…これでどうするつもり…？,,,,,,,5,灰原哀,9,,,,教室,1,IN,,,,,
2クリック目,江戸川コナン,まあ、まかせておけって…いいか？,2,江戸川コナン,3,,,,,,,,,,,,,,,,,
3クリック目,江戸川コナン,"ドアの鍵っていうのは小さい金属の部品が集まってできた機械だ…
こういう物には潤滑剤が必要なんだよ…",,,,,,,,,,,,,,,,,,,,
4クリック目,円谷光彦,潤滑剤…油とか…ですか？,,,,5,円谷光彦,15,,,,,,,,,,,,,,
5クリック目,江戸川コナン,"いや、こういう小さいものには、よく滑る粉末のものがいいんだ…
例えば…黒鉛とかな！",2,江戸川コナン,3,,"非表示",0,,,,,,,,,,,,,,
6クリック目,灰原哀,…黒鉛…なるほどね…それで、この鉛筆を使うってわけね…,,,,,,,2,灰原哀,9,鉛筆,140,中央,,,,,,,,
7クリック目,江戸川コナン,"ああ…この鉛筆の芯をキーにたっぷりこすり付けて…それを鍵穴に差して、
何度か回してみれば…（ガチャッ！！）",,,,,,,,,,,,"中央：非表示",,,,,,,,
8クリック目,円谷光彦,やったー！開きましたね！ありがとうコナン君！！さすがです！！,,,,2,円谷光彦,15,,,,,,,,,,,,,,
9クリック目,小嶋元太,"サンキュー！コナン！助かったぜー！
よーし！急いで帰ろうぜ！！",,,,2,小嶋元太,17,,,,,,,,,,,,,,
10クリック目,江戸川コナン,おい！お前ら、そんなに急いで…いったい何の用事なんだよ…？,10,江戸川コナン,3,,,,,,,,,,,,,,,,,
11クリック目,小嶋元太,"決まってんじゃねーか！今日はテレビで仮面ヤイバーをやる日だぜ！
見逃すわけには行かねーんだよ！じゃあな！！",,,,3,小嶋元太,17,,,,,,,,,,,,,,
12クリック目,円谷光彦,待ってくださいよ元太君！…あ、皆、また明日！！…,,,,2,円谷光彦,15,,,,,,,,,,,,,,
13クリック目,吉田歩美,…元太君も光彦君も、すごい勢いで行っちゃったね…,,,,,"非表示",0,1,吉田歩美,12,,,,,,,,,,,
14クリック目,江戸川コナン,一大事ってそれかよ…真剣に聞いた俺がバカだったぜ…はは…,22,江戸川コナン,3,,,,,,,,,,,,,,,,,
