調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,阿笠博士,はあ――……,1,阿笠博士,6,1,灰原哀,9,,,,,,,研究所,10,IN
2クリック目,灰原哀,"どうしたの？
こんな場所でため息なんてついて……",,,,,,,,,,,,,,,
3クリック目,阿笠博士,"それが……
ワシの<font color='#FF9D9D'>壺が誰かに割られてしまって</font>のう……",5,阿笠博士,6,,,,,,,,,,,,
4クリック目,灰原哀,"もしかして、あの棚の上に置いてあった壺？
あんな<font color='#FF9D9D'>高い場所に置いてある</font>方が悪いと思うけど……",,,,,,,,,,,,,,,
5クリック目,阿笠博士,そうは言うが、あそこしか置く場所がなかったからのう……,,,,,,,,,,,,,,,
6クリック目,灰原哀,"まあたしかに、あの場所なら子ども達の手には届かないから、
一見安全そうだけど……",,,,2,灰原哀,9,,,,,,,,,
7クリック目,阿笠博士,"<font color='#FF9D9D'>ちょっとの振動では落ちないように固定</font>してあったんじゃが……
甘かったかのう……",,,,,,,,,,,,,,,
8クリック目,灰原哀,"そういえば研究所では工藤君と一緒に、
円谷君と小嶋君が日曜大工をやっていたわね……
小鳥の巣箱を作るって言ってたかしら？",,,,1,灰原哀,9,,,,,,,,,
9クリック目,阿笠博士,"ああ、そうじゃ……
壺の割れた音がして慌てて研究所の方に行ったら、
みんな一斉にワシの方を見たんじゃ……",1,阿笠博士,6,,,,,,,,,,,,
10クリック目,灰原哀,みんなって、誰がいたの？,,,,2,灰原哀,9,,,,,,,,,
11クリック目,阿笠博士,新一は巣箱の穴の部分を作っとった！,,,,,,,,,,電動ドリル,110,右,,,
12クリック目,阿笠博士,元太君はかなづちで釘打ちをしとって……,,,,,,,,,,かなづち,113,右,,,
13クリック目,阿笠博士,光彦君は丸椅子を運んどるようじゃったが……,,,,,,,,,,丸椅子,104,右,,,
14クリック目,灰原哀,"そういえば壷の破片は片付けたの？
あんな高いところから落ちたんなら、飛び散って危ないんじゃない？",,,,1,灰原哀,9,,,,,,右：非表示,,,
15クリック目,阿笠博士,"いや、意外と<font color='#FF9D9D'>破片は飛んでおらんかった</font>の……
<font color='#FF9D9D'>壷の底の部分が割れておって、口の方はあまり割れておらんかった</font>よ……
すぐ片付けて、ゴミに出しておいたよ……",,,,,,,,,,,,,,,
16クリック目,灰原哀,"なるほどね……
犯人が分かったかもしれないわ……",,,,12,灰原哀,9,,,,,,,,,
