調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,江戸川コナン,"(ったく……
おっちゃん、酔っぱらって寝ちまった……
こんな所に小学生を連れてくるんじゃねえよ……)",11,江戸川コナン,3,,,,16,毛利小五郎,4,,,,バー,14,IN
2クリック目,鈴木なおこ,"あら……
毛利さん、寝ちゃったわね……
キミ、１人で大丈夫？",,,,1,鈴木なおこ,53,,,,,,,,,
3クリック目,江戸川コナン,"うん！大丈夫だよ！
おじさんすぐ起きると思うから！
ちょっと暇になっちゃったけどね……",2,江戸川コナン,3,,,,,非表示,0,,,,,,
4クリック目,鈴木なおこ,じゃあ、お姉さんの相談にのってくれない?,,,,,,,,,,,,,,,
5クリック目,江戸川コナン,"うん！いいよ！
(暇だし少しだけ付き合うか……)",,,,,,,,,,,,,,,
6クリック目,鈴木なおこ,"ふふふ！
このお店、お昼はカフェ営業してるんだけど…
実は私…目玉メニューとして『<font color='#FF9D9D'>面白いコーヒー</font>』を作りたいと思って考えてたの…",,,,,,,,,,,,,,,
7クリック目,江戸川コナン,面白いコーヒー……？,,,,,,,,,,,,,,,
8クリック目,鈴木なおこ,"そう！
面白いコーヒーを思いついたんだけど、見てみない？",,,,,,,,,,,,,,,
9クリック目,鈴木なおこ,"でも作るには、コーヒーとライター、角砂糖、それともうひとつ、
ある物が必要なんだけど、それはなーんだ？",,,,,,,,,,,,,,,
10クリック目,江戸川コナン,"それだけじゃわからないよ！
お姉さん、もうちょっとヒント頂戴！",,,,,,,,,,,,,,,
11クリック目,鈴木なおこ,"じゃあヒント！
その必要なものは、このバーの中にある物なの！
今から言うものの中にあるわ！",,,,,,,,,,,,,,,
12クリック目,鈴木なおこ,まずは、あそこの<font color='#FF9D9D'>酔っぱらっているおじさん</font>が持っている<font color='#FF9D9D'>ブランデーグラス</font>！,,非表示,0,,,,1,水野鉄平,54,ブランデーグラス,411,左,,,
13クリック目,鈴木なおこ,あの<font color='#FF9D9D'>ダンディなおじさん</font>が持っている<font color='#FF9D9D'>バラ</font>のお花！,,,,,,,1,勝村翔,71,バラ,409,左,,,
14クリック目,鈴木なおこ,<font color='#FF9D9D'>OL</font>さんが食べている<font color='#FF9D9D'>クリームパイ</font>！,,,,,,,1,小谷ゆみ,45,クリームパイ,405,左,,,
15クリック目,鈴木なおこ,あの<font color='#FF9D9D'>お姉さん</font>の<font color='#FF9D9D'>キュー</font>！この中にあるわ！,,,,,,,1,上杉夕夏,52,キュー,415,左,,,
16クリック目,江戸川コナン,うーん……難しいなぁ……,13,江戸川コナン,3,,,,,非表示,0,,,左：非表示,,,
17クリック目,鈴木なおこ,"小学生には難しかったかな？それじゃあ大ヒント！
『面白いコーヒー』って言うのはね……
コーヒーに<font color='#FF9D9D'>火を付けるコーヒー</font>なの！",,,,,,,,,,,,,,,
18クリック目,江戸川コナン,"え！？
コーヒーに火を？
……あっ！もしかして…",2,江戸川コナン,3,,,,,,,,,,,,
