調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,毛利蘭,コナン君っ！,7,毛利蘭,8,2,江戸川コナン,3,,,,,,,公園,3,IN,,,,,
2クリック目,江戸川コナン,どうしたの蘭姉ちゃん！　顔色が悪いよ！？,,,,10,江戸川コナン,3,,,,,,,,,,,,,,
3クリック目,毛利蘭,"それが……今、阿笠博士の<font color='#FF9D9D'>研究所</font>にいたんだけど、
あそこで火事があったのよ！",,,,,,,,,,研究所,81,右,,,,,,,,
4クリック目,江戸川コナン,か……火事！？　そ、それでみんなは……,,,,7,江戸川コナン,3,,,,,,"右：非表示",,,,,,,,
5クリック目,毛利蘭,幸いボヤだったから、みんなは無事だったの……,,,,,,,,,,,,,,,,,,,,
6クリック目,江戸川コナン,そっか……良かった……,,,,6,江戸川コナン,3,,,,,,,,,,,,,,
7クリック目,毛利蘭,"ただ、近所の人から預かっていた、
肥料の袋が燃えちゃってね……
謝らないといけないみたい……",13,毛利蘭,8,,,,,,,,,,,,,,,,,
8クリック目,江戸川コナン,それは仕方ないね……,,,,20,江戸川コナン,3,,,,,,,,,,,,,,
9クリック目,毛利蘭,"でも、どうして火事になったんだろ？
阿笠博士は今、大そうじ中だから、
<font color='#FF9D9D'>研究室に燃料や可燃性の薬品は一切置いていない</font>って言ってたのに……",,,,,,,,,,,,,,,,,,,,
10クリック目,江戸川コナン,火事になったときの事、詳しく教えて、蘭姉ちゃん？,,,,3,江戸川コナン,3,,,,,,,,,,,,,,
11クリック目,毛利蘭,"ええ……歩美ちゃんの悲鳴でわたしが飛び込んだ時、
歩美ちゃんは<font color='#FF9D9D'>ビーカー</font>を持ってたわ！
<font color='#FF9D9D'>色水遊びをしていた</font>って言ってたわ……",3,毛利蘭,8,,,,,,,ビーカー,92,右,,,,,,,,
12クリック目,毛利蘭,"光彦君は<font color='#FF9D9D'>オイルランプ</font>を持っていた……
<font color='#FF9D9D'>燃料はなかったか</font>ら、火はつかなかったはずよ……",,,,,,,,,,オイルランプ,109,右,,,,,,,,
13クリック目,毛利蘭,"元太君は<font color='#FF9D9D'>実験用ゴーグル</font>をかけていたわ……
<font color='#FF9D9D'>火が怖くてかけた</font>のかもしれないけど……",,,,,,,,,,実験用ゴーグル,98,右,,,,,,,,
14クリック目,毛利蘭,"で、阿笠博士は<font color='#FF9D9D'>消火器</font>を持ってて、
それで<font color='#FF9D9D'>あわてて消火した</font>の……",,,,,,,,,,消火器,108,右,,,,,,,,
15クリック目,江戸川コナン,"わざと火遊びをするって事はなさそうだね……
となるとこれは一種の事故だろうな……",,,,14,江戸川コナン,3,,,,,,"右：非表示",,,,,,,,
