研究所,,,Lv8,,
,,,,,
事件概要,,,,,
証拠品ドロップアイテム,,,ビーカー,,4
事件現場（物探し）,,,研究所,,3
クエストレベル,,,8,,1
依頼現場／対決場所,,,公園,,2
事件名,,,研究所出火事件,,7
事件概要,,,青い顔をした蘭に会う。今さっき、研究室でボヤ騒ぎがあったらしい。燃えたのは近所の人から預かっていた肥料の袋の一部だった。歩美の悲鳴で蘭が飛び込んだ時には色水の入ったビーカーを持った歩美とオイルランプを手にしていた光彦。実験用ゴーグルを目にかけていた元太。消火器を手にした阿笠がいた。その時、阿笠にどうして火事になったのか聞くと燃料や可燃性の薬品の類は今置いていいないんだがと首を傾げられた。誰が何を使って出火させたのだろうか？（肥料の中に生石灰があり、歩美はそこに水をかけてしまったのだ。生石灰は水分と反応して発熱発火するので犯人は歩美で証拠品はビーカー,,277
依頼者,,,毛利蘭,,3
犯人名,,,吉田歩美,,4
はずれ容疑者、物証①,,,円谷光彦：オイルランプ,,
はずれ容疑者、物証②,,,小嶋元太：実験用ゴーグル,,
はずれ容疑者、物証③,,,阿笠博士：消火器,,
