調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,桜庭おさむ,各チーム、接戦のまま遂に最終ステージとなりました！,,,,1,桜庭おさむ,92,,,,,,,高校部室,19,IN
2クリック目,桜庭おさむ,"トップを行くのは少年探偵団チーム、僅差で鈴木園子さんチーム、帝丹先生ズが
続いております！",,,,,,,,,,,,,,,
3クリック目,小嶋元太,よっし！このまま優勝するぜ！,3,小嶋元太,17,,,,,,,,,,,,
4クリック目,円谷光彦,はいっ！！,,,,2,円谷光彦,15,,,,,,,,,
5クリック目,吉田歩美,負けないもんっ！ほらコナン君も！,,,,,,,3,吉田歩美,12,,,,,,
6クリック目,江戸川コナン,お、おう…,,,,5,江戸川コナン,3,,,,,,,,,
7クリック目,鈴木園子,ふん！まだまだ勝負はこれからよ！,7,鈴木園子,13,,,,,,,,,,,,
8クリック目,世良真純,最終決戦か！燃えるねーっ！,,,,3,世良真純,87,,,,,,,,,
9クリック目,毛利蘭,コナン君達、さすがね！私達もがんばらなくちゃ！,,,,,,,1,毛利蘭,8,,,,,,
10クリック目,新出智明,張り切るのはいいですが…みんな、ケガだけはしないでくださいよ？,1,新出智明,18,,,,,,,,,,,,
11クリック目,世良真純,とか言って、新出先生も勝つ気満々みたいだね？,,,,,,,,,,,,,,,
12クリック目,新出智明,ここで手を抜かないのが大人の礼儀ですからね！,2,新出智明,18,,,,,,,,,,,,
13クリック目,世良真純,うん！だから勝負は面白いんだよね！,,,,1,世良真純,87,,,,,,,,,
14クリック目,京極真,空手以外でこんなに燃えた勝負は初めてです…園子さん！必ず勝ちましょう！,,,,1,京極真,86,,非表示,0,,,,,,
15クリック目,鈴木園子,はい、真さん！,2,鈴木園子,13,,,,,,,,,,,,
16クリック目,桜庭おさむ,"今回のヒントは…こちらです！
それでは、最終ステージ！よーいスタート！",,非表示,0,1,桜庭おさむ,92,,,,一歩下がって見る,60008,左,,,
