調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,阿笠博士,おーい！皆、いい買い物はできたかのー？,,,,1,阿笠博士,6,,,,,,,百貨店,9,IN,,,,,
2クリック目,吉田歩美,うん！バッチリだよ！,3,吉田歩美,12,,,,,,,,,,,,,,,,,
3クリック目,円谷光彦,"パーティの買い物はこれでよし！研究所に戻って、飾り付けの準備をしている
コナン君と灰原さんの手伝いをしましょう！",,,,,,,2,円谷光彦,15,,,,,,,,,,,
4クリック目,小嶋元太,"なあ、買い物はいいけどよ…パーティーの食いもんは何だろうな？
俺、なんか腹が減っちまってよお…",,,,,,,5,小嶋元太,17,,,,,,,,,,,
5クリック目,吉田歩美,大丈夫だよ、それもきっと哀ちゃんが用意してくれてるよ！,1,吉田歩美,12,,,,,,,,,,,,,,,,,
6クリック目,小嶋元太,おう！そうだな！じゃ早く戻ってパーティはじめようぜ！！,,,,,,,3,小嶋元太,17,,,,,,,,,,,
7クリック目,阿笠博士,そうじゃな！…ところで皆、どんなパーティーグッズを買ったのかな？,,,,12,阿笠博士,6,,"非表示",0,,,,,,,,,,,
8クリック目,円谷光彦,"僕は…この<font color='#FF9D9D'>とんがり帽子</font>です！パーティーといえば、これですよね！",,,,,"非表示",0,13,円谷光彦,15,とんがり帽子,260,中央,,,,,,,,
9クリック目,小嶋元太,"何だよ光彦…普通すぎてつまんないぞ！
俺のは…どうだ！この<font color='#FF9D9D'>鼻眼鏡！ヒゲもついてるから変装できる</font>ぜー！",,,,,,,1,小嶋元太,17,鼻眼鏡,247,中央,,,,,,,,
10クリック目,吉田歩美,"私は、この…<font color='#FF9D9D'>ちょんまげ</font>だよ！パーティーで一発芸ができるよね！",3,吉田歩美,12,,,,,,,ちょんまげ,259,中央,,,,,,,,
11クリック目,阿笠博士,ふうむ…なかなか面白いものを買ってきたのー…なるほど…,,,,1,阿笠博士,6,,,,,,"中央：非表示",,,,,,,,
12クリック目,円谷光彦,どうしたんですか博士…皆の買ったものを見てニヤニヤして…？,,,,,,,1,円谷光彦,15,,,,,,,,,,,
13クリック目,阿笠博士,うむ！…面白いなぞなぞがひらめいたぞ！！,,,,12,阿笠博士,6,,,,,,,,,,,,,,
14クリック目,小嶋元太,えー！またかよー！,,,,,,,10,小嶋元太,17,,,,,,,,,,,
15クリック目,阿笠博士,"<font color='#FF9D9D'>とんがり帽子、鼻眼鏡、ちょんまげ…いま皆が買ったものの中に
ひとつだけ仲間はずれ</font>があるぞ！",,,,,,,,,,,,,,,,,,,,
16クリック目,吉田歩美,仲間はずれ…この中に？,9,吉田歩美,12,,,,,,,,,,,,,,,,,
17クリック目,円谷光彦,どれも、よくあるパーティグッズですよね…ひとつだけ仲間はずれと言われても…,,,,,,,14,円谷光彦,15,,,,,,,,,,,
18クリック目,阿笠博士,"<font color='#FF9D9D'>ヒントは「無傷」</font>じゃ！",,,,1,阿笠博士,6,,,,,,,,,,,,,,
19クリック目,小嶋元太,"無傷って…傷がないってことだろ？どれも買ったばっかの新品だから
傷なんてついてないぞ！",,,,,,,7,小嶋元太,17,,,,,,,,,,,
20クリック目,阿笠博士,さあ、どうかのー？よーく考えてみるんじゃ！,,,,12,阿笠博士,6,,,,,,,,,,,,,,
