エンディングストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情",左キャラ名,カードID,"表情",中央キャラ,カードID,"表情",右キャラ,カードID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,円谷光彦,"わかりましたよ、博士！正解はこの<font color='#FF9D9D'>とんがり帽子</font>ですね！",2,円谷光彦,15,,,,,,,とんがり帽子,260,中央,百貨店,9,IN,,,,,
2クリック目,阿笠博士,正解じゃ！じゃが…どうして、とんがり帽子が仲間はずれなのかな？,,,,,,,12,阿笠博士,6,,,,,,,,,,,
3クリック目,円谷光彦,"博士の言ったヒントは「無傷」…無傷というのは「ケガが無い」…つまりケガ無い！
毛が無いものが仲間はずれなんですよ！",,,,,,,,,,,,"中央：非表示",,,,,,,,
4クリック目,吉田歩美,そっか…すごーい、光彦君！よく気がついたね！,,,,3,吉田歩美,12,,,,,,,,,,,,,,
5クリック目,円谷光彦,"ちょんまげにも、鼻眼鏡にも毛がついてるけど、とんがり帽子だけには毛がついて
ないですよね！",,,,,,,,,,,,,,,,,,,,
6クリック目,阿笠博士,うむ！その通りじゃ…ちょっと簡単すぎたかの…,,,,,,,1,阿笠博士,6,,,,,,,,,,,
7クリック目,小嶋元太,もー正解したからいいだろ！？早く研究所に戻ってパーティーはじめようぜ！,3,小嶋元太,17,,,,,,,,,,,,,,,,,
8クリック目,吉田歩美,そうだね…コナン君たち、きっと待ってるよ！,,,,2,吉田歩美,12,,,,,,,,,,,,,,
9クリック目,阿笠博士,よし！パーティーのときまでに、今度はもっと難しいなぞなぞを考えておくぞ！,,,,,,,12,阿笠博士,6,,,,,,,,,,,
10クリック目,円谷光彦,えー…まだ、やる気ですか…なぞなぞ…,10,円谷光彦,15,,,,,,,,,,,,,,,,,
