ステージ,,,,,,,
ステージ1,,,,,導入ADV,,
,,,,,探索場所,,高校部室
,,,,,暗号,,あせをふくぬのたたた
,,,,,正解物証,,タオル
,,,,,不正解物証,,スポーツドリンク
,,,,,不正解物証,,ぞうきん
,,,,,不正解物証,,バンソウコウ
,,,,,不正解物証,,鉄アレイ
,,,,,不正解物証,,ミサンガ
,,,,,対決,,桜庭おさむ
,,,,,出題者,,桜庭おさむ
,,,,,エンディングADV,,
ステージ2,,,,,導入ADV,,
,,,,,探索場所,,図書館
,,,,,暗号,,はめはがねはのいはれもの
,,,,,正解物証,,眼鏡ケース
,,,,,不正解物証,,黒ぶち眼鏡
,,,,,不正解物証,,紙コップ
,,,,,不正解物証,,下敷き
,,,,,不正解物証,,単語カード
,,,,,不正解物証,,ポーチ
,,,,,対決,,桜庭おさむ
,,,,,出題者,,桜庭おさむ
,,,,,エンディングADV,,
ステージ3,,,,,導入ADV,,
,,,,,探索場所,,カフェ
,,,,,暗号,,きこいろこいくこだもこの
,,,,,正解物証,,バナナ
,,,,,不正解物証,,ショートケーキ
,,,,,不正解物証,,プリン
,,,,,不正解物証,,ハンバーガー
,,,,,不正解物証,,スプーン
,,,,,不正解物証,,トング
,,,,,対決,,桜庭おさむ
,,,,,出題者,,桜庭おさむ
,,,,,エンディングADV,,
ステージ4,,,,,導入ADV,,
,,,,,探索場所,,高校部室
,,,,,暗号,,としげのしついしたくつし
,,,,,正解物証,,スパイクシューズ
,,,,,不正解物証,,ユニフォーム
,,,,,不正解物証,,鉄アレイ
,,,,,不正解物証,,ミサンガ
,,,,,不正解物証,,やかん
,,,,,不正解物証,,ぞうきん
,,,,,対決,,桜庭おさむ
,,,,,出題者,,桜庭おさむ
,,,,,エンディングADV,,
ステージ5,,,,,導入ADV,,
,,,,,探索場所,,図書館
,,,,,暗号,,はふりふのなふいとふけい
,,,,,正解物証,,デジタル時計
,,,,,不正解物証,,辞典
,,,,,不正解物証,,単語カード
,,,,,不正解物証,,眼鏡ケース
,,,,,不正解物証,,スマートフォン
,,,,,不正解物証,,電子辞書
,,,,,対決,,桜庭おさむ
,,,,,出題者,,桜庭おさむ
,,,,,エンディングADV,,
ステージ6,,,,,導入ADV,,
,,,,,探索場所,,カフェ
,,,,,暗号,,ちけいけさけいいけぬ
,,,,,正解物証,,子犬
,,,,,不正解物証,,プリン
,,,,,不正解物証,,ハンカチ
,,,,,不正解物証,,ショートケーキ
,,,,,不正解物証,,フォーク
,,,,,不正解物証,,ハンバーガー
,,,,,対決,,桜庭おさむ
,,,,,出題者,,桜庭おさむ
,,,,,エンディングADV,,
ステージ7,,,,,導入ADV,,
,,,,,探索場所,,高校部室
,,,,,暗号,,こせえをおおきんくすんるどうせぐ
,,,,,正解物証,,メガホン
,,,,,不正解物証,,サイコロ
,,,,,不正解物証,,ベルト
,,,,,不正解物証,,弁当
,,,,,不正解物証,,ソックス
,,,,,不正解物証,,ミネラルウォーター
,,,,,対決,,桜庭おさむ
,,,,,出題者,,桜庭おさむ
,,,,,エンディングADV,,
ステージ8,,,,,導入ADV,,
,,,,,探索場所,,図書館
,,,,,暗号,,おごんがむくごをきむくきごかむい
,,,,,正解物証,,音楽プレイヤー
,,,,,不正解物証,,カッター
,,,,,不正解物証,,スマートフォン
,,,,,不正解物証,,電子辞書
,,,,,不正解物証,,紙コップ
,,,,,不正解物証,,下敷き
,,,,,対決,,桜庭おさむ
,,,,,出題者,,桜庭おさむ
,,,,,エンディングADV,,
ステージ9,,,,,導入ADV,,
,,,,,探索場所,,カフェ
,,,,,暗号,,ちわっりてちつりかりうはしち
,,,,,正解物証,,割りばし
,,,,,不正解物証,,カップ麺
,,,,,不正解物証,,スプーン
,,,,,不正解物証,,コースター
,,,,,不正解物証,,プリン
,,,,,不正解物証,,ハンカチ
,,,,,対決,,桜庭おさむ
,,,,,出題者,,桜庭おさむ
,,,,,エンディングADV,,
ステージ10,,,,,導入ADV,,
,,,,,探索場所,,高校部室
,,,,,暗号,,えやわせせぎめね
,,,,,正解物証,,やかん
,,,,,不正解物証,,焼きそばパン
,,,,,不正解物証,,ソックス
,,,,,不正解物証,,ミネラルウォーター
,,,,,不正解物証,,カッター
,,,,,不正解物証,,スマートフォン
,,,,,対決,,桜庭おさむ
,,,,,出題者,,桜庭おさむ
,,,,,エンディングADV,,
