エンディングストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,江戸川コナン,暗号文の一つ目は「こっぷとかたちがにている」…,,,,1,江戸川コナン,3,,,,,,,住宅街,2,IN
2クリック目,江戸川コナン,二つ目は「あついものをのむときによくつかう」…,,,,,,,,,,,,,,,
3クリック目,江戸川コナン,三つ目は「にほんにむかしからあるうつわ」…,,,,,,,,,,,,,,,
4クリック目,江戸川コナン,そして最後の暗号文は「ちゃわんともいう」…,,,,,,,,,,,,,,,
5クリック目,江戸川コナン,"この文章が示すアイテムは…そう、湯飲み！
よくやったね！正解だよ！",,,,2,江戸川コナン,3,,,,,,,,,
6クリック目,毛利小五郎,"おい！それ、事務所にある俺の愛用の湯飲みじゃねえか！
勝手に俺の持ち物を暗号の答えなんかに…！！",,,,,,,10,毛利小五郎,4,,,,,,
7クリック目,毛利蘭,まあ、いいじゃないお父さん！それくらい…,9,毛利蘭,8,,,,,,,,,,,,
8クリック目,毛利小五郎,良くねえよ！落っことしでもして割れたらどうしてくれんだ…！！,,,,,,,,,,,,,,,
9クリック目,江戸川コナン,（な、なんだよ…おっちゃん、すげー怒り方だな…）,,,,10,江戸川コナン,3,,,,,,,,,
10クリック目,毛利蘭,"ごめんねコナン君…
あれ、ずっと前にお母さんが買ってきてくれた湯飲みで、
お父さん、実は大切にしててね…",,,,,,,,,,,,,,,
11クリック目,江戸川コナン,"えっ…そ、そうだったの…！？
ご、ごめんなさい…おじさん…",,,,6,江戸川コナン,3,,,,,,,,,
12クリック目,毛利小五郎,ふん…もういいけどよ…！,,,,,,,11,毛利小五郎,4,,,,,,
13クリック目,小嶋元太,あーーっ！腹減ったーー！,2,小嶋元太,17,,,,,非表示,0,,,,,,
14クリック目,吉田歩美,元太君…？テストが終わったとたんに元気になっちゃった…,,,,,,,1,吉田歩美,12,,,,,,
15クリック目,灰原哀,まあ…よかったんじゃないの？元通りになって…,,,,2,灰原哀,9,,,,,,,,,
16クリック目,小嶋元太,おう！暗号のテストなんて楽勝だぜ！！,,,,,,,,,,,,,,,
17クリック目,円谷光彦,元太君は何もしてなかったじゃないですか…？,,,,,,,5,円谷光彦,15,,,,,,
18クリック目,小嶋元太,あれ…そうだっけ！？,1,小嶋元太,17,,,,,,,,,,,,
19クリック目,灰原哀,…テスト…またやるわよ…,,,,4,灰原哀,9,,,,,,,,,
20クリック目,小嶋元太,えっ…テ、テスト？…うう…また腹が…,5,小嶋元太,17,,,,,,,,,,,,
21クリック目,江戸川コナン,ははは…！わかりやすいな、元太は…,,,,22,江戸川コナン,3,,,,,,,,,
22クリック目,毛利蘭,…まあ、テストも無事に合格！よかったわね！,2,毛利蘭,8,,,,,,,,,,,,
23クリック目,江戸川コナン,暗号は全部解読できたかな？,,,,2,江戸川コナン,3,,,,,,,,,
24クリック目,江戸川コナン,これからも、もっと訓練がんばろう！,,,,,,,,,,,,,,,
25クリック目,灰原哀,…まあ、今回は上出来だったんじゃない…？,,,,1,灰原哀,9,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
