調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,高田あおい,"ちょっと、そこのあなた！
少年探偵団の人……ですわよね？",1,高田あおい,70,,,,,,,,,,教室,1,IN
2クリック目,江戸川コナン,え？あ、あぁ……,,,,2,江戸川コナン,3,,,,,,,,,
3クリック目,円谷光彦,どうしました？…依頼ならよろこんで受けますよ！,2,円谷光彦,15,,,,,,,,,,,,
4クリック目,小嶋元太,おう！まかせろよ！どんな事件でも解決してやるぜー！,,,,,,,3,小嶋元太,17,,,,,,
5クリック目,高田あおい,"ちょうどよかったですわ！
あなたたち、不思議な事件の謎を解いて下さる？",1,高田あおい,70,,,,,,,,,,,,
6クリック目,吉田歩美,不思議な事件？,,,,,,,3,吉田歩美,12,,,,,,
7クリック目,高田あおい,"えぇ……
わたくし、友人に宛てた手紙を机の上に置いて、休み時間留守にしたんですの……
それで、しばらくして戻ったら手紙に小さな穴が空いていたんですわ！",,,,,,,,,,,,,,,
8クリック目,江戸川コナン,それって、最初からその手紙に穴が空いていたんじゃないの？,,,,1,江戸川コナン,3,,,,,,,,,
9クリック目,高田あおい,"それはありえませんわ！
席を離れる前に、わたくし、手紙に穴なんて開いてないことを確認しましたもの！",,,,,,,,,,,,,,,
10クリック目,江戸川コナン,"なるほど……
その穴は、どんな穴だった？",,,,2,江戸川コナン,3,,,,,,,,,
11クリック目,高田あおい,"穴はすごく小さくて汚れなどは見当たりませんでしたわ……
それに手紙の位置も変わっていましたし……
誰かが手に取った後机に戻したのだと思いますわ！",,,,,,,,,,,,,,,
12クリック目,江戸川コナン,"うーん……
じゃあ、手紙を置いていったとき、席の近くに誰がいたか分かるかな？",,,,,,,,,,,,,,,
13クリック目,高田あおい,"ええ！
わたくしの席の後ろに座っている女の子が、
わたくしの席の近くに3人だけが近づいていた事を見ていましたの！",,,,,,,,,,,,,,,
14クリック目,円谷光彦,その3人は誰だったんですか？,14,円谷光彦,15,,非表示,0,,,,,,,,,
15クリック目,高田あおい,"確か休み時間に工作をしていた兵藤君と……
<font color='#FF9D9D'>鉛筆を使って勉強をしていた浅沼君</font>……",1,高田あおい,70,,,,,,,鉛筆,140,中央,,,
16クリック目,高田あおい,それと、<font color='#FF9D9D'>コンパスの練習をしていた女の子</font>……名前は……,,,,,,,,,,コンパス,138,中央,,,
17クリック目,吉田歩美,それってあっちの教室の隅でコンパス持っているあの女の子のこと？,,,,,,,3,吉田歩美,12,,,中央：非表示,,,
18クリック目,高田あおい,そうですわ、脇田さんですわ！,,,,,,,,,,,,,,,
19クリック目,高田あおい,"それと、<font color='#FF9D9D'>兵藤君は画びょうに絵の具を塗って工作をしていた</font>そうですわ……
授業中から絵の具を塗っていて、昼休みの間、画びょうを扇いで乾かしていたとか…",,,,,,,,,,画びょう,145,中央,,,
20クリック目,高田あおい,"他の人は1人も近づいていなかったとのことですので、
この3人のうちの誰かに間違いありませんわ！",,,,,,,,,,,,中央：非表示,,,
21クリック目,小嶋元太,えーそれだけかよ？それじゃ誰なのかちっともわかんねえぞー？,,,,,,,5,小嶋元太,17,,,,,,
22クリック目,江戸川コナン,"（なるほど……3人の内の誰かが、手紙に穴を空けたって事か……
となると……穴を空けたのはあいつか？……）",,,,1,江戸川コナン,3,,,,,,,,,
