エンディングストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情",左キャラ名,カードID,"表情",中央キャラ,カードID,"表情",右キャラ,カードID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,江戸川コナン,"あ、いたいた……
おーい、ちょっといいかな？",2,江戸川コナン,3,,,,,,,,,,教室,1,IN,,,,,
2クリック目,脇田みさき,えっ！なっ何……急に？,,,,1,脇田みさき,49,,,,,,,,,,,,,,
3クリック目,円谷光彦,オホン…！あなたにちょっと伺いたいことがあるんです…,,,,,,,13,円谷光彦,15,,,,,,,,,,,
4クリック目,江戸川コナン,この手紙、見覚えないかな？,,,,,,,,,,,,,,,,,,,,
5クリック目,脇田みさき,"え！？
えっと……",,,,,,,,,,,,,,,,,,,,
6クリック目,小嶋元太,どうしたんだ…なんか怪しいぞー！？,7,小嶋元太,17,,,,,,,,,,,,,,,,,
7クリック目,高田あおい,もしかして、あなたが手紙に穴を空けたんですの？,,"非表示",0,,,,1,高田あおい,70,,,,,,,,,,,
8クリック目,脇田みさき,"う、うぅ……
ごめんなさい……
<font color='#FF9D9D'>コンパスの練習をしたくて近くの紙を取ったら、手紙で……</font>",,,,,,,,,,コンパス,138,左,,,,,,,,
9クリック目,脇田みさき,"小さい穴だったから大丈夫かなって……
こめんなさい、わざとじゃないの……",,,,,,,,,,,,"左：非表示",,,,,,,,
10クリック目,高田あおい,"そうだったんですの……
悪気があったわけじゃないのですわね……",,,,,,,,,,,,,,,,,,,,
11クリック目,高田あおい,"それなら、許しますわ！
次から気を付けて下さいね？",,,,,,,,,,,,,,,,,,,,
12クリック目,脇田みさき,"う、うん！
許してくれてありがとう！",,,,,,,,,,,,,,,,,,,,
13クリック目,吉田歩美,無事に解決してよかったね！,,,,2,吉田歩美,12,,,,,,,,,,,,,,
14クリック目,江戸川コナン,（これで一件落着だね！）,1,江戸川コナン,3,,,,,,,,,,,,,,,,,
