108	3	target_10	水筒	1
109	3	target_22	落ち葉	1
110	3	target_13	缶コーヒー	1
111	3	target_5	ペットボトル	1
112	3	target_9	ラジコン	1
113	3	target_28	リボン	1
114	3	target_19	ゴミ箱	1
115	3	target_14	野球用グローブ	1
116	3	target_26	ミニカー	1
117	3	target_17	ローラースケート	1
118	3	target_21	ベビーカー	1
119	3	target_12	エコバッグ	1
120	3	target_8	三輪車	1
121	3	target_4	紙ひこうき	1
122	3	target_3	テニスボール	1
123	3	target_7	フリスビー	1
124	3	target_18	前掛け	1
125	3	target_2	なわとび	1
126	3	target_25	ハト	1
127	3	target_16	バケツ	1
128	3	target_20	ウサギのぬいぐるみ	1
129	3	target_11	小銭入れ	1
130	3	target_23	カタツムリ	1
131	3	target_31	バスケットボール	1
132	3	target_30	スマートフォン	1
133	3	target_6	仮面ヤイバー人形	1
134	3	target_29	野球帽	1
135	3	target_1	スコップ	1
136	3	target_24	犬	1
137	3	target_15	四つ葉のクローバー	1
138	3	target_27	スケートボード	1
139	3	layer_4	layer_4	0
140	3	layer_18	layer_18	0
141	3	layer_21	layer_21	0
142	3	layer_13	layer_13	0
143	3	layer_22	layer_22	0
144	3	layer_27	layer_27	0
145	3	layer_11	layer_11	0
146	3	layer_20	layer_20	0
147	3	layer_12	layer_12	0
148	3	layer_25	layer_25	0
149	3	layer_30	layer_30	0
150	3	layer_26	layer_26	0
151	3	layer_10	layer_10	0
152	3	layer_15	layer_15	0
153	3	layer_24	layer_24	0
154	3	layer_1	layer_1	0
155	3	layer_29	layer_29	0
156	3	layer_8	layer_8	0
157	3	layer_14	layer_14	0
158	3	layer_6	layer_6	0
159	3	layer_28	layer_28	0
160	3	layer_5	layer_5	0
161	3	layer_16	layer_16	0
