調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,桜庭おさむ,"イベントも半ば近くとなりました！
今のところ、少年探偵団チーム、帝丹先生チームが僅差でトップを争っている状況です！",,,,1,桜庭おさむ,92,,,,,,,図書館,16,IN
2クリック目,桜庭おさむ,それでは今回の図書館のヒントは…こちらです！,,,,,,,,,,太る,60007,左,,,
3クリック目,世良真純,さすがコナン君達だね！でもまだそんなに点差は開いてないはずだよ！,,,,3,世良真純,87,,,,,,左：非表示,,,
4クリック目,毛利蘭,そうよ！ここからよ、園子！元気出して！,3,毛利蘭,8,,,,1,鈴木園子,13,,,,,,
5クリック目,鈴木園子,も、もちろんよ！やーね、この園子サマが元気ないわけ…,,,,,,,,,,,,,,,
6クリック目,京極真,園子さんがどうかしましたか？,,,,1,京極真,86,,,,,,,,,
7クリック目,毛利蘭,あ、京極さん！いつ日本に戻って…？,1,毛利蘭,8,,,,,,,,,,,,
8クリック目,京極真,"つい今しがたですが…それより、今聞き捨てならない話をしていませんでしたか？
園子さんが元気がないとか？",,,,,,,,,,,,,,,
9クリック目,鈴木園子,えっ？それはその…,,,,,,,,,,,,,,,
10クリック目,毛利蘭,"今、あたしたち学園祭のゲームに参加してるんですけど、
京極さんも一緒にしませんか？そうすれば園子も元気になりますから！",,,,,,,,,,,,,,,
11クリック目,京極真,"よく分かりませんが…園子さんが元気になるというのなら、
どんなゲームでも参加しますよ！",2,毛利蘭,8,,,,,,,,,,,,
12クリック目,世良真純,うひゃ～言うねぇ…これは最強の助っ人だあ！,,,,2,世良真純,87,,,,,,,,,
